instance,seed,objective,tuning_time
neos-4387871-tavua.mps,3,0,518
neos-4954672-berkel.mps,3,17.29,1125
neos-5093327-huahum.mps,3,25.01,1368
nexp-150-20-8-5.mps,3,12.16,1138
rococoB10-011000.mps,3,21.61,1138
sorrell3.mps,3,27.9,1173
supportcase26.mps,3,7.29,1276
supportcase40.mps,3,5.81,1304
supportcase6.mps,3,13.12,1161
var-smallemery-m6j6.mps,3,3.77,1156
