instance,seed,objective,tuning_time
b1c1s1.mps,1,18.54,1395
cost266-UUE.mps,1,5.71,1331
csched007.mps,1,9.06,1746
cvs16r128-89.mps,1,17.08,1532
eilA101-2.mps,1,57.51,1644
