instance,seed,tuner_rc,best_configuration_present,output_dir,log_path
csched008.mps,2,0,1,/scratch/yorig/mpils-results-grid-ticks-10000-7may/easy/24proc/seed-2/1_csched008_seed-2_20260509_032954,/scratch/yorig/mpils-results-grid-ticks-10000-7may/easy/24proc/seed-2/1_csched008_seed-2_20260509_032954/run.log
fastxgemm-n2r6s0t2.mps,2,0,1,/scratch/yorig/mpils-results-grid-ticks-10000-7may/easy/24proc/seed-2/2_fastxgemm-n2r6s0t2_seed-2_20260509_034502,/scratch/yorig/mpils-results-grid-ticks-10000-7may/easy/24proc/seed-2/2_fastxgemm-n2r6s0t2_seed-2_20260509_034502/run.log
glass4.mps,2,0,1,/scratch/yorig/mpils-results-grid-ticks-10000-7may/easy/24proc/seed-2/3_glass4_seed-2_20260509_035505,/scratch/yorig/mpils-results-grid-ticks-10000-7may/easy/24proc/seed-2/3_glass4_seed-2_20260509_035505/run.log
lotsize.mps,2,0,1,/scratch/yorig/mpils-results-grid-ticks-10000-7may/easy/24proc/seed-2/4_lotsize_seed-2_20260509_035622,/scratch/yorig/mpils-results-grid-ticks-10000-7may/easy/24proc/seed-2/4_lotsize_seed-2_20260509_035622/run.log
mas74.mps,2,0,1,/scratch/yorig/mpils-results-grid-ticks-10000-7may/easy/24proc/seed-2/5_mas74_seed-2_20260509_041050,/scratch/yorig/mpils-results-grid-ticks-10000-7may/easy/24proc/seed-2/5_mas74_seed-2_20260509_041050/run.log
neos-4413714-turia.mps,2,0,1,/scratch/yorig/mpils-results-grid-ticks-10000-7may/easy/24proc/seed-2/6_neos-4413714-turia_seed-2_20260509_050934,/scratch/yorig/mpils-results-grid-ticks-10000-7may/easy/24proc/seed-2/6_neos-4413714-turia_seed-2_20260509_050934/run.log
qap10.mps,2,0,1,/scratch/yorig/mpils-results-grid-ticks-10000-7may/easy/24proc/seed-2/7_qap10_seed-2_20260509_052755,/scratch/yorig/mpils-results-grid-ticks-10000-7may/easy/24proc/seed-2/7_qap10_seed-2_20260509_052755/run.log
rocI-4-11.mps,2,0,1,/scratch/yorig/mpils-results-grid-ticks-10000-7may/easy/24proc/seed-2/8_rocI-4-11_seed-2_20260509_052803,/scratch/yorig/mpils-results-grid-ticks-10000-7may/easy/24proc/seed-2/8_rocI-4-11_seed-2_20260509_052803/run.log
supportcase18.mps,2,0,1,/scratch/yorig/mpils-results-grid-ticks-10000-7may/easy/24proc/seed-2/9_supportcase18_seed-2_20260509_052827,/scratch/yorig/mpils-results-grid-ticks-10000-7may/easy/24proc/seed-2/9_supportcase18_seed-2_20260509_052827/run.log
supportcase33.mps,2,0,1,/scratch/yorig/mpils-results-grid-ticks-10000-7may/easy/24proc/seed-2/10_supportcase33_seed-2_20260509_052916,/scratch/yorig/mpils-results-grid-ticks-10000-7may/easy/24proc/seed-2/10_supportcase33_seed-2_20260509_052916/run.log
