instance,seed,objective,tuning_time
csched008.mps,9,0.58,861
fastxgemm-n2r6s0t2.mps,9,0,975
glass4.mps,9,0,160
lotsize.mps,9,4.88,1279
mas74.mps,9,0.51,2504
neos-4413714-turia.mps,9,4.5,1551
qap10.mps,9,0,4
rocI-4-11.mps,9,0,154
supportcase18.mps,9,3.7,748
supportcase33.mps,9,0,210
