MipStartID,MipStartFile,SourceEvalID,UpperBound
11,/scratch/yorig/mpils-results-grid-seconds-5-no-mip-start/medium-1/16proc/seed-5/2_cost266-UUE_seed-5_20260502_222511/iterated_local_search/run_4_worker_15/mip_starts/mip_start_eval_16_config_10969009935302407195.mst,1454,2.51489e+07
10,/scratch/yorig/mpils-results-grid-seconds-5-no-mip-start/medium-1/16proc/seed-5/2_cost266-UUE_seed-5_20260502_222511/iterated_local_search/run_4_worker_0/mip_starts/mip_start_eval_17_config_10877278585696496294.mst,1036,2.51489e+07
9,/scratch/yorig/mpils-results-grid-seconds-5-no-mip-start/medium-1/16proc/seed-5/2_cost266-UUE_seed-5_20260502_222511/iterated_local_search/run_2_worker_4/mip_starts/mip_start_eval_1_config_12455044510135590745.mst,389,2.51519e+07
8,/scratch/yorig/mpils-results-grid-seconds-5-no-mip-start/medium-1/16proc/seed-5/2_cost266-UUE_seed-5_20260502_222511/iterated_local_search/run_1_worker_4/mip_starts/mip_start_eval_6_config_153355689697072452.mst,86,2.52369e+07
7,/scratch/yorig/mpils-results-grid-seconds-5-no-mip-start/medium-1/16proc/seed-5/2_cost266-UUE_seed-5_20260502_222511/iterated_local_search/run_1_worker_2/mip_starts/mip_start_eval_19_config_16714679896587155446.mst,59,2.52446e+07
6,/scratch/yorig/mpils-results-grid-seconds-5-no-mip-start/medium-1/16proc/seed-5/2_cost266-UUE_seed-5_20260502_222511/iterated_local_search/run_1_worker_2/mip_starts/mip_start_eval_1_config_2804053118686667685.mst,41,2.53331e+07
5,/scratch/yorig/mpils-results-grid-seconds-5-no-mip-start/medium-1/16proc/seed-5/2_cost266-UUE_seed-5_20260502_222511/iterated_local_search/run_1_worker_0/mip_starts/mip_start_eval_16_config_13026710638108025884.mst,16,2.54085e+07
4,/scratch/yorig/mpils-results-grid-seconds-5-no-mip-start/medium-1/16proc/seed-5/2_cost266-UUE_seed-5_20260502_222511/iterated_local_search/run_1_worker_0/mip_starts/mip_start_eval_7_config_8683817217222751575.mst,7,2.54211e+07
3,/scratch/yorig/mpils-results-grid-seconds-5-no-mip-start/medium-1/16proc/seed-5/2_cost266-UUE_seed-5_20260502_222511/iterated_local_search/run_1_worker_0/mip_starts/mip_start_eval_3_config_2823934824078185206.mst,3,2.55367e+07
2,/scratch/yorig/mpils-results-grid-seconds-5-no-mip-start/medium-1/16proc/seed-5/2_cost266-UUE_seed-5_20260502_222511/iterated_local_search/run_1_worker_0/mip_starts/mip_start_eval_2_config_5643427149002281568.mst,2,2.56579e+07
1,/scratch/yorig/mpils-results-grid-seconds-5-no-mip-start/medium-1/16proc/seed-5/2_cost266-UUE_seed-5_20260502_222511/iterated_local_search/run_1_worker_0/mip_starts/mip_start_eval_1_config_14921508010286178949.mst,1,2.56706e+07
