instance,seed,objective,tuning_time
neos-4387871-tavua.mps,8,23.58,948
neos-4954672-berkel.mps,8,13.96,1220
neos-5093327-huahum.mps,8,25.58,519
nexp-150-20-8-5.mps,8,4.24,506
rococoB10-011000.mps,8,21.85,966
sorrell3.mps,8,32.05,758
supportcase26.mps,8,0.01,1077
supportcase40.mps,8,4.33,976
supportcase6.mps,8,13.1,470
var-smallemery-m6j6.mps,8,3.16,882
