instance,seed,objective,tuning_time
csched008.mps,3,0.58,996
fastxgemm-n2r6s0t2.mps,3,0.01,1256
glass4.mps,3,0,40
lotsize.mps,3,3.21,1895
mas74.mps,3,1.47,2783
neos-4413714-turia.mps,3,0,543
qap10.mps,3,0,10
rocI-4-11.mps,3,0,10
supportcase18.mps,3,0,10
supportcase33.mps,3,0,10
