instance,seed,objective,tuning_time
b1c1s1.mps,1,16.58,715
cost266-UUE.mps,1,5.75,679
csched007.mps,1,7.85,690
cvs16r128-89.mps,1,17.7,795
eilA101-2.mps,1,16.31,2059
momentum1.mps,1,11.8,606
mushroom-best.mps,1,22.74,604
neos-1456979.mps,1,4.8,577
neos-3024952-loue.mps,1,1.85,857
neos-3555904-turama.mps,1,18.01,527
