instance,seed,objective,tuning_time
neos-4387871-tavua.mps,8,23.43,1261
neos-4954672-berkel.mps,8,12.66,1468
neos-5093327-huahum.mps,8,25.36,982
nexp-150-20-8-5.mps,8,2.9,1923
rococoB10-011000.mps,8,19.32,1193
sorrell3.mps,8,24.4,1508
supportcase26.mps,8,0.01,1702
supportcase40.mps,8,2.22,1641
supportcase6.mps,8,0.01,1427
var-smallemery-m6j6.mps,8,2.52,1497
