instance,seed,objective,tuning_time
csched008.mps,2,1.15,1663
fastxgemm-n2r6s0t2.mps,2,55.22,1662
glass4.mps,2,0,881
lotsize.mps,2,13.98,1465
mas74.mps,2,3.07,1553
neos-4413714-turia.mps,2,12.59,1534
qap10.mps,2,0,63
rocI-4-11.mps,2,0,532
supportcase18.mps,2,3.7,1271
supportcase33.mps,2,0,672
