MipStartID,MipStartFile,SourceEvalID,UpperBound
12,/scratch/yorig/mpils-results-grid-seconds-5-no-mip-start/medium-1/8proc/seed-2/1_b1c1s1_seed-2_20260502_225227/iterated_local_search/run_3_worker_1/mip_starts/mip_start_eval_4_config_14295316968277082015.mst,302,24585.5
11,/scratch/yorig/mpils-results-grid-seconds-5-no-mip-start/medium-1/8proc/seed-2/1_b1c1s1_seed-2_20260502_225227/iterated_local_search/run_2_worker_4/mip_starts/mip_start_eval_4_config_14481814677449536481.mst,236,24606.4
10,/scratch/yorig/mpils-results-grid-seconds-5-no-mip-start/medium-1/8proc/seed-2/1_b1c1s1_seed-2_20260502_225227/iterated_local_search/run_2_worker_4/mip_starts/mip_start_eval_3_config_3832417126851673300.mst,235,24889.3
9,/scratch/yorig/mpils-results-grid-seconds-5-no-mip-start/medium-1/8proc/seed-2/1_b1c1s1_seed-2_20260502_225227/iterated_local_search/run_2_worker_1/mip_starts/mip_start_eval_2_config_1980456305618725509.mst,216,24890.9
8,/scratch/yorig/mpils-results-grid-seconds-5-no-mip-start/medium-1/8proc/seed-2/1_b1c1s1_seed-2_20260502_225227/iterated_local_search/run_1_worker_6/mip_starts/mip_start_eval_19_config_12695349716803037215.mst,139,24936
7,/scratch/yorig/mpils-results-grid-seconds-5-no-mip-start/medium-1/8proc/seed-2/1_b1c1s1_seed-2_20260502_225227/iterated_local_search/run_1_worker_5/mip_starts/mip_start_eval_8_config_24837290069197898.mst,108,25112
6,/scratch/yorig/mpils-results-grid-seconds-5-no-mip-start/medium-1/8proc/seed-2/1_b1c1s1_seed-2_20260502_225227/iterated_local_search/run_1_worker_0/mip_starts/mip_start_eval_14_config_2771030771036639417.mst,14,25340.5
5,/scratch/yorig/mpils-results-grid-seconds-5-no-mip-start/medium-1/8proc/seed-2/1_b1c1s1_seed-2_20260502_225227/iterated_local_search/run_1_worker_0/mip_starts/mip_start_eval_11_config_6273258924486038737.mst,11,25382.3
4,/scratch/yorig/mpils-results-grid-seconds-5-no-mip-start/medium-1/8proc/seed-2/1_b1c1s1_seed-2_20260502_225227/iterated_local_search/run_1_worker_0/mip_starts/mip_start_eval_9_config_12346593367860487108.mst,9,25485.4
3,/scratch/yorig/mpils-results-grid-seconds-5-no-mip-start/medium-1/8proc/seed-2/1_b1c1s1_seed-2_20260502_225227/iterated_local_search/run_1_worker_0/mip_starts/mip_start_eval_5_config_3793061173611652593.mst,5,25630.9
2,/scratch/yorig/mpils-results-grid-seconds-5-no-mip-start/medium-1/8proc/seed-2/1_b1c1s1_seed-2_20260502_225227/iterated_local_search/run_1_worker_0/mip_starts/mip_start_eval_2_config_10101538263502436884.mst,2,26151.3
1,/scratch/yorig/mpils-results-grid-seconds-5-no-mip-start/medium-1/8proc/seed-2/1_b1c1s1_seed-2_20260502_225227/iterated_local_search/run_1_worker_0/mip_starts/mip_start_eval_1_config_14921508010286178949.mst,1,28486.8
