instance,seed,objective,tuning_time
neos-4387871-tavua.mps,4,21.29,2891
neos-4954672-berkel.mps,4,12.2,1243
neos-5093327-huahum.mps,4,24.06,989
nexp-150-20-8-5.mps,4,0.99,7379
rococoB10-011000.mps,4,18.54,922
sorrell3.mps,4,24.34,2480
supportcase26.mps,4,3.21,907
supportcase40.mps,4,2.46,955
supportcase6.mps,4,0,633
var-smallemery-m6j6.mps,4,2.55,1096
