MipStartID,MipStartFile,SourceEvalID,UpperBound
7,/scratch/yorig/mpils-results-grid-ticks-10000/medium-2/1proc/seed-3/1_neos-4387871-tavua_seed-3_20260426_071814/iterated_local_search/run_7_worker_0/mip_starts/mip_start_eval_3_config_17137629291681627047.mst,219,33.3847
6,/scratch/yorig/mpils-results-grid-ticks-10000/medium-2/1proc/seed-3/1_neos-4387871-tavua_seed-3_20260426_071814/iterated_local_search/run_4_worker_0/mip_starts/mip_start_eval_1_config_901242599408390617.mst,92,33.3847
5,/scratch/yorig/mpils-results-grid-ticks-10000/medium-2/1proc/seed-3/1_neos-4387871-tavua_seed-3_20260426_071814/iterated_local_search/run_2_worker_0/mip_starts/mip_start_eval_3_config_17254563267798736708.mst,32,33.5563
4,/scratch/yorig/mpils-results-grid-ticks-10000/medium-2/1proc/seed-3/1_neos-4387871-tavua_seed-3_20260426_071814/iterated_local_search/run_1_worker_0/mip_starts/mip_start_eval_7_config_5988662020493846908.mst,7,33.5563
3,/scratch/yorig/mpils-results-grid-ticks-10000/medium-2/1proc/seed-3/1_neos-4387871-tavua_seed-3_20260426_071814/iterated_local_search/run_1_worker_0/mip_starts/mip_start_eval_5_config_16679742048881223644.mst,5,33.7989
2,/scratch/yorig/mpils-results-grid-ticks-10000/medium-2/1proc/seed-3/1_neos-4387871-tavua_seed-3_20260426_071814/iterated_local_search/run_1_worker_0/mip_starts/mip_start_eval_2_config_2823934824078185206.mst,2,33.7989
1,/scratch/yorig/mpils-results-grid-ticks-10000/medium-2/1proc/seed-3/1_neos-4387871-tavua_seed-3_20260426_071814/iterated_local_search/run_1_worker_0/mip_starts/mip_start_eval_1_config_14921508010286178949.mst,1,34.1421
