instance,seed,tuner_rc,best_configuration_present,output_dir,log_path
b1c1s1.mps,3,0,1,/scratch/yorig/mpils-results-grid-seconds-5/medium-1/24proc/seed-3/1_b1c1s1_seed-3_20260503_091038,/scratch/yorig/mpils-results-grid-seconds-5/medium-1/24proc/seed-3/1_b1c1s1_seed-3_20260503_091038/run.log
cost266-UUE.mps,3,0,1,/scratch/yorig/mpils-results-grid-seconds-5/medium-1/24proc/seed-3/2_cost266-UUE_seed-3_20260503_092044,/scratch/yorig/mpils-results-grid-seconds-5/medium-1/24proc/seed-3/2_cost266-UUE_seed-3_20260503_092044/run.log
csched007.mps,3,0,1,/scratch/yorig/mpils-results-grid-seconds-5/medium-1/24proc/seed-3/3_csched007_seed-3_20260503_093142,/scratch/yorig/mpils-results-grid-seconds-5/medium-1/24proc/seed-3/3_csched007_seed-3_20260503_093142/run.log
cvs16r128-89.mps,3,0,1,/scratch/yorig/mpils-results-grid-seconds-5/medium-1/24proc/seed-3/4_cvs16r128-89_seed-3_20260503_094344,/scratch/yorig/mpils-results-grid-seconds-5/medium-1/24proc/seed-3/4_cvs16r128-89_seed-3_20260503_094344/run.log
eilA101-2.mps,3,0,1,/scratch/yorig/mpils-results-grid-seconds-5/medium-1/24proc/seed-3/5_eilA101-2_seed-3_20260503_095525,/scratch/yorig/mpils-results-grid-seconds-5/medium-1/24proc/seed-3/5_eilA101-2_seed-3_20260503_095525/run.log
momentum1.mps,3,0,1,/scratch/yorig/mpils-results-grid-seconds-5/medium-1/24proc/seed-3/6_momentum1_seed-3_20260503_104807,/scratch/yorig/mpils-results-grid-seconds-5/medium-1/24proc/seed-3/6_momentum1_seed-3_20260503_104807/run.log
mushroom-best.mps,3,0,1,/scratch/yorig/mpils-results-grid-seconds-5/medium-1/24proc/seed-3/7_mushroom-best_seed-3_20260503_105619,/scratch/yorig/mpils-results-grid-seconds-5/medium-1/24proc/seed-3/7_mushroom-best_seed-3_20260503_105619/run.log
neos-1456979.mps,3,0,1,/scratch/yorig/mpils-results-grid-seconds-5/medium-1/24proc/seed-3/8_neos-1456979_seed-3_20260503_110700,/scratch/yorig/mpils-results-grid-seconds-5/medium-1/24proc/seed-3/8_neos-1456979_seed-3_20260503_110700/run.log
neos-3024952-loue.mps,3,0,1,/scratch/yorig/mpils-results-grid-seconds-5/medium-1/24proc/seed-3/9_neos-3024952-loue_seed-3_20260503_111809,/scratch/yorig/mpils-results-grid-seconds-5/medium-1/24proc/seed-3/9_neos-3024952-loue_seed-3_20260503_111809/run.log
neos-3555904-turama.mps,3,0,1,/scratch/yorig/mpils-results-grid-seconds-5/medium-1/24proc/seed-3/10_neos-3555904-turama_seed-3_20260503_113030,/scratch/yorig/mpils-results-grid-seconds-5/medium-1/24proc/seed-3/10_neos-3555904-turama_seed-3_20260503_113030/run.log
