MipStartID,MipStartFile,SourceEvalID,UpperBound
6,/scratch/yorig/mpils-results-grid-seconds-5/easy/24proc/seed-5/3_glass4_seed-5_20260503_092542/iterated_local_search/run_1_worker_8/mip_starts/mip_start_eval_9_config_14604554239304327309.mst,79,1.20001e+09
5,/scratch/yorig/mpils-results-grid-seconds-5/easy/24proc/seed-5/3_glass4_seed-5_20260503_092542/iterated_local_search/run_1_worker_2/mip_starts/mip_start_eval_7_config_11898364515789979536.mst,24,1.37501e+09
4,/scratch/yorig/mpils-results-grid-seconds-5/easy/24proc/seed-5/3_glass4_seed-5_20260503_092542/iterated_local_search/run_1_worker_2/mip_starts/mip_start_eval_5_config_10014105228699714186.mst,22,1.47501e+09
3,/scratch/yorig/mpils-results-grid-seconds-5/easy/24proc/seed-5/3_glass4_seed-5_20260503_092542/iterated_local_search/run_1_worker_1/mip_starts/mip_start_eval_2_config_14945327202240187335.mst,11,1.50001e+09
2,/scratch/yorig/mpils-results-grid-seconds-5/easy/24proc/seed-5/3_glass4_seed-5_20260503_092542/iterated_local_search/run_1_worker_0/mip_starts/mip_start_eval_5_config_16275269842957739503.mst,5,1.50001e+09
1,/scratch/yorig/mpils-results-grid-seconds-5/easy/24proc/seed-5/3_glass4_seed-5_20260503_092542/iterated_local_search/run_1_worker_0/mip_starts/mip_start_eval_1_config_14921508010286178949.mst,1,1.55001e+09
