instance,seed,objective,tuning_time
csched008.mps,4,0.58,560
fastxgemm-n2r6s0t2.mps,4,0,689
glass4.mps,4,0,15
lotsize.mps,4,6.91,699
mas74.mps,4,2.62,808
neos-4413714-turia.mps,4,5.65,770
qap10.mps,4,0,5
rocI-4-11.mps,4,0,658
supportcase18.mps,4,0,126
supportcase33.mps,4,0,390
