instance,seed,tuner_rc,best_configuration_present,output_dir,log_path
b1c1s1.mps,3,0,1,/scratch/yorig/mpils-results-grid-seconds-5/medium-1/1proc/seed-3/1_b1c1s1_seed-3_20260503_010920,/scratch/yorig/mpils-results-grid-seconds-5/medium-1/1proc/seed-3/1_b1c1s1_seed-3_20260503_010920/run.log
cost266-UUE.mps,3,0,1,/scratch/yorig/mpils-results-grid-seconds-5/medium-1/1proc/seed-3/2_cost266-UUE_seed-3_20260503_013620,/scratch/yorig/mpils-results-grid-seconds-5/medium-1/1proc/seed-3/2_cost266-UUE_seed-3_20260503_013620/run.log
csched007.mps,3,0,1,/scratch/yorig/mpils-results-grid-seconds-5/medium-1/1proc/seed-3/3_csched007_seed-3_20260503_020008,/scratch/yorig/mpils-results-grid-seconds-5/medium-1/1proc/seed-3/3_csched007_seed-3_20260503_020008/run.log
cvs16r128-89.mps,3,0,1,/scratch/yorig/mpils-results-grid-seconds-5/medium-1/1proc/seed-3/4_cvs16r128-89_seed-3_20260503_022755,/scratch/yorig/mpils-results-grid-seconds-5/medium-1/1proc/seed-3/4_cvs16r128-89_seed-3_20260503_022755/run.log
eilA101-2.mps,3,0,1,/scratch/yorig/mpils-results-grid-seconds-5/medium-1/1proc/seed-3/5_eilA101-2_seed-3_20260503_025408,/scratch/yorig/mpils-results-grid-seconds-5/medium-1/1proc/seed-3/5_eilA101-2_seed-3_20260503_025408/run.log
momentum1.mps,3,0,1,/scratch/yorig/mpils-results-grid-seconds-5/medium-1/1proc/seed-3/6_momentum1_seed-3_20260503_032204,/scratch/yorig/mpils-results-grid-seconds-5/medium-1/1proc/seed-3/6_momentum1_seed-3_20260503_032204/run.log
mushroom-best.mps,3,0,1,/scratch/yorig/mpils-results-grid-seconds-5/medium-1/1proc/seed-3/7_mushroom-best_seed-3_20260503_035058,/scratch/yorig/mpils-results-grid-seconds-5/medium-1/1proc/seed-3/7_mushroom-best_seed-3_20260503_035058/run.log
neos-1456979.mps,3,0,1,/scratch/yorig/mpils-results-grid-seconds-5/medium-1/1proc/seed-3/8_neos-1456979_seed-3_20260503_041832,/scratch/yorig/mpils-results-grid-seconds-5/medium-1/1proc/seed-3/8_neos-1456979_seed-3_20260503_041832/run.log
neos-3024952-loue.mps,3,0,1,/scratch/yorig/mpils-results-grid-seconds-5/medium-1/1proc/seed-3/9_neos-3024952-loue_seed-3_20260503_044115,/scratch/yorig/mpils-results-grid-seconds-5/medium-1/1proc/seed-3/9_neos-3024952-loue_seed-3_20260503_044115/run.log
neos-3555904-turama.mps,3,0,1,/scratch/yorig/mpils-results-grid-seconds-5/medium-1/1proc/seed-3/10_neos-3555904-turama_seed-3_20260503_050633,/scratch/yorig/mpils-results-grid-seconds-5/medium-1/1proc/seed-3/10_neos-3555904-turama_seed-3_20260503_050633/run.log
