MipStartID,MipStartFile,SourceEvalID,UpperBound
10,/scratch/yorig/mpils-results-grid-ticks-10000/medium-1/2proc/seed-8/3_csched007_seed-8_20260426_051836/iterated_local_search/run_4_worker_1/mip_starts/mip_start_eval_7_config_9157080047168734375.mst,135,356
9,/scratch/yorig/mpils-results-grid-ticks-10000/medium-1/2proc/seed-8/3_csched007_seed-8_20260426_051836/iterated_local_search/run_3_worker_1/mip_starts/mip_start_eval_8_config_6061434941384323091.mst,74,357
8,/scratch/yorig/mpils-results-grid-ticks-10000/medium-1/2proc/seed-8/3_csched007_seed-8_20260426_051836/iterated_local_search/run_2_worker_0/mip_starts/mip_start_eval_1_config_2896628415533434508.mst,43,359
7,/scratch/yorig/mpils-results-grid-ticks-10000/medium-1/2proc/seed-8/3_csched007_seed-8_20260426_051836/iterated_local_search/run_1_worker_1/mip_starts/mip_start_eval_17_config_4074625763981840713.mst,37,373
6,/scratch/yorig/mpils-results-grid-ticks-10000/medium-1/2proc/seed-8/3_csched007_seed-8_20260426_051836/iterated_local_search/run_1_worker_1/mip_starts/mip_start_eval_16_config_17283467305230816579.mst,36,381
5,/scratch/yorig/mpils-results-grid-ticks-10000/medium-1/2proc/seed-8/3_csched007_seed-8_20260426_051836/iterated_local_search/run_1_worker_1/mip_starts/mip_start_eval_1_config_15365607158388011512.mst,21,383
4,/scratch/yorig/mpils-results-grid-ticks-10000/medium-1/2proc/seed-8/3_csched007_seed-8_20260426_051836/iterated_local_search/run_1_worker_0/mip_starts/mip_start_eval_11_config_6069347888666045659.mst,11,416
3,/scratch/yorig/mpils-results-grid-ticks-10000/medium-1/2proc/seed-8/3_csched007_seed-8_20260426_051836/iterated_local_search/run_1_worker_0/mip_starts/mip_start_eval_9_config_7163582754515794748.mst,9,421
2,/scratch/yorig/mpils-results-grid-ticks-10000/medium-1/2proc/seed-8/3_csched007_seed-8_20260426_051836/iterated_local_search/run_1_worker_0/mip_starts/mip_start_eval_4_config_5834979808369545068.mst,4,422
1,/scratch/yorig/mpils-results-grid-ticks-10000/medium-1/2proc/seed-8/3_csched007_seed-8_20260426_051836/iterated_local_search/run_1_worker_0/mip_starts/mip_start_eval_1_config_14921508010286178949.mst,1,446
