instance,seed,objective,tuning_time
csched008.mps,3,0.58,895
fastxgemm-n2r6s0t2.mps,3,84.35,915
glass4.mps,3,0,181
lotsize.mps,3,5.74,984
mas74.mps,3,3.31,908
neos-4413714-turia.mps,3,12.59,1008
qap10.mps,3,0,5
rocI-4-11.mps,3,0,662
supportcase18.mps,3,3.7,602
supportcase33.mps,3,0,354
