instance,seed,objective,tuning_time
csched008.mps,8,0.58,815
fastxgemm-n2r6s0t2.mps,8,0,672
glass4.mps,8,0,112
lotsize.mps,8,2.95,788
mas74.mps,8,0.17,2089
neos-4413714-turia.mps,8,0,424
qap10.mps,8,0,6
rocI-4-11.mps,8,0,14
supportcase18.mps,8,0,17
supportcase33.mps,8,0,133
