instance,seed,objective,tuning_time
b1c1s1.mps,3,14.37,814
cost266-UUE.mps,3,4.63,946
csched007.mps,3,6.33,899
cvs16r128-89.mps,3,15.56,882
eilA101-2.mps,3,12.24,2787
momentum1.mps,3,11.38,695
mushroom-best.mps,3,0,607
neos-1456979.mps,3,3.95,878
neos-3024952-loue.mps,3,1.19,881
neos-3555904-turama.mps,3,18.01,745
