instance,seed,objective,tuning_time
b1c1s1.mps,3,17.27,506
cost266-UUE.mps,3,6.16,599
csched007.mps,3,8.16,743
cvs16r128-89.mps,3,21.16,491
eilA101-2.mps,3,15.55,3711
momentum1.mps,3,11.81,487
mushroom-best.mps,3,22.82,711
neos-1456979.mps,3,6.67,518
neos-3024952-loue.mps,3,3.78,608
neos-3555904-turama.mps,3,18.01,569
