instance,seed,tuner_rc,best_configuration_present,output_dir,log_path
b1c1s1.mps,5,0,1,/scratch/yorig/mpils-results-grid-seconds-5/medium-1/16proc/seed-5/1_b1c1s1_seed-5_20260502_224142,/scratch/yorig/mpils-results-grid-seconds-5/medium-1/16proc/seed-5/1_b1c1s1_seed-5_20260502_224142/run.log
cost266-UUE.mps,5,0,1,/scratch/yorig/mpils-results-grid-seconds-5/medium-1/16proc/seed-5/2_cost266-UUE_seed-5_20260502_225313,/scratch/yorig/mpils-results-grid-seconds-5/medium-1/16proc/seed-5/2_cost266-UUE_seed-5_20260502_225313/run.log
csched007.mps,5,0,1,/scratch/yorig/mpils-results-grid-seconds-5/medium-1/16proc/seed-5/3_csched007_seed-5_20260502_230638,/scratch/yorig/mpils-results-grid-seconds-5/medium-1/16proc/seed-5/3_csched007_seed-5_20260502_230638/run.log
cvs16r128-89.mps,5,0,1,/scratch/yorig/mpils-results-grid-seconds-5/medium-1/16proc/seed-5/4_cvs16r128-89_seed-5_20260502_231807,/scratch/yorig/mpils-results-grid-seconds-5/medium-1/16proc/seed-5/4_cvs16r128-89_seed-5_20260502_231807/run.log
eilA101-2.mps,5,0,1,/scratch/yorig/mpils-results-grid-seconds-5/medium-1/16proc/seed-5/5_eilA101-2_seed-5_20260502_233008,/scratch/yorig/mpils-results-grid-seconds-5/medium-1/16proc/seed-5/5_eilA101-2_seed-5_20260502_233008/run.log
momentum1.mps,5,0,1,/scratch/yorig/mpils-results-grid-seconds-5/medium-1/16proc/seed-5/6_momentum1_seed-5_20260503_001959,/scratch/yorig/mpils-results-grid-seconds-5/medium-1/16proc/seed-5/6_momentum1_seed-5_20260503_001959/run.log
mushroom-best.mps,5,0,1,/scratch/yorig/mpils-results-grid-seconds-5/medium-1/16proc/seed-5/7_mushroom-best_seed-5_20260503_003000,/scratch/yorig/mpils-results-grid-seconds-5/medium-1/16proc/seed-5/7_mushroom-best_seed-5_20260503_003000/run.log
neos-1456979.mps,5,0,1,/scratch/yorig/mpils-results-grid-seconds-5/medium-1/16proc/seed-5/8_neos-1456979_seed-5_20260503_004231,/scratch/yorig/mpils-results-grid-seconds-5/medium-1/16proc/seed-5/8_neos-1456979_seed-5_20260503_004231/run.log
neos-3024952-loue.mps,5,0,1,/scratch/yorig/mpils-results-grid-seconds-5/medium-1/16proc/seed-5/9_neos-3024952-loue_seed-5_20260503_005421,/scratch/yorig/mpils-results-grid-seconds-5/medium-1/16proc/seed-5/9_neos-3024952-loue_seed-5_20260503_005421/run.log
neos-3555904-turama.mps,5,0,1,/scratch/yorig/mpils-results-grid-seconds-5/medium-1/16proc/seed-5/10_neos-3555904-turama_seed-5_20260503_010919,/scratch/yorig/mpils-results-grid-seconds-5/medium-1/16proc/seed-5/10_neos-3555904-turama_seed-5_20260503_010919/run.log
