MipStartID,MipStartFile,SourceEvalID,UpperBound
6,/scratch/yorig/mpils-results-grid-seconds-10-no-mip-start/medium-2/2proc/seed-5/5_rococoB10-011000_seed-5_20260503_031714/iterated_local_search/run_2_worker_1/mip_starts/mip_start_eval_5_config_1282257253893135580.mst,53,19458
5,/scratch/yorig/mpils-results-grid-seconds-10-no-mip-start/medium-2/2proc/seed-5/5_rococoB10-011000_seed-5_20260503_031714/iterated_local_search/run_2_worker_1/mip_starts/mip_start_eval_1_config_11962868548484160080.mst,49,19497
4,/scratch/yorig/mpils-results-grid-seconds-10-no-mip-start/medium-2/2proc/seed-5/5_rococoB10-011000_seed-5_20260503_031714/iterated_local_search/run_1_worker_1/mip_starts/mip_start_eval_11_config_1969750911352997391.mst,31,19670
3,/scratch/yorig/mpils-results-grid-seconds-10-no-mip-start/medium-2/2proc/seed-5/5_rococoB10-011000_seed-5_20260503_031714/iterated_local_search/run_1_worker_0/mip_starts/mip_start_eval_4_config_4953176355233792838.mst,4,19760
2,/scratch/yorig/mpils-results-grid-seconds-10-no-mip-start/medium-2/2proc/seed-5/5_rococoB10-011000_seed-5_20260503_031714/iterated_local_search/run_1_worker_0/mip_starts/mip_start_eval_3_config_2823934824078185206.mst,3,20215
1,/scratch/yorig/mpils-results-grid-seconds-10-no-mip-start/medium-2/2proc/seed-5/5_rococoB10-011000_seed-5_20260503_031714/iterated_local_search/run_1_worker_0/mip_starts/mip_start_eval_1_config_14921508010286178949.mst,1,20560
