MipStartID,MipStartFile,SourceEvalID,UpperBound
10,/scratch/yorig/mpils-results-grid-seconds-5/medium-2/16proc/seed-1/8_supportcase40_seed-1_20260502_235503/iterated_local_search/run_4_worker_14/mip_starts/mip_start_eval_29_config_13815732614006425766.mst,1185,24256.3
9,/scratch/yorig/mpils-results-grid-seconds-5/medium-2/16proc/seed-1/8_supportcase40_seed-1_20260502_235503/iterated_local_search/run_3_worker_1/mip_starts/mip_start_eval_8_config_4163989384072636364.mst,578,24256.9
8,/scratch/yorig/mpils-results-grid-seconds-5/medium-2/16proc/seed-1/8_supportcase40_seed-1_20260502_235503/iterated_local_search/run_2_worker_11/mip_starts/mip_start_eval_12_config_14311270607307200556.mst,480,24273.7
7,/scratch/yorig/mpils-results-grid-seconds-5/medium-2/16proc/seed-1/8_supportcase40_seed-1_20260502_235503/iterated_local_search/run_2_worker_4/mip_starts/mip_start_eval_11_config_6370286252359115260.mst,395,24302.5
6,/scratch/yorig/mpils-results-grid-seconds-5/medium-2/16proc/seed-1/8_supportcase40_seed-1_20260502_235503/iterated_local_search/run_1_worker_10/mip_starts/mip_start_eval_14_config_14638540495919043864.mst,214,24305.6
5,/scratch/yorig/mpils-results-grid-seconds-5/medium-2/16proc/seed-1/8_supportcase40_seed-1_20260502_235503/iterated_local_search/run_1_worker_8/mip_starts/mip_start_eval_3_config_14421176985597233526.mst,163,24307
4,/scratch/yorig/mpils-results-grid-seconds-5/medium-2/16proc/seed-1/8_supportcase40_seed-1_20260502_235503/iterated_local_search/run_1_worker_1/mip_starts/mip_start_eval_3_config_4212311836723003975.mst,23,24329.4
3,/scratch/yorig/mpils-results-grid-seconds-5/medium-2/16proc/seed-1/8_supportcase40_seed-1_20260502_235503/iterated_local_search/run_1_worker_0/mip_starts/mip_start_eval_13_config_66560094061867943.mst,13,24341.6
2,/scratch/yorig/mpils-results-grid-seconds-5/medium-2/16proc/seed-1/8_supportcase40_seed-1_20260502_235503/iterated_local_search/run_1_worker_0/mip_starts/mip_start_eval_2_config_2823934824078185206.mst,2,24365.5
1,/scratch/yorig/mpils-results-grid-seconds-5/medium-2/16proc/seed-1/8_supportcase40_seed-1_20260502_235503/iterated_local_search/run_1_worker_0/mip_starts/mip_start_eval_1_config_14921508010286178949.mst,1,24408.3
