instance,seed,objective,tuning_time
csched008.mps,5,1.15,152
fastxgemm-n2r6s0t2.mps,5,55.08,170
glass4.mps,5,0.01,215
lotsize.mps,5,9.73,241
mas74.mps,5,0.79,472
neos-4413714-turia.mps,5,4.5,200
qap10.mps,5,0,6
rocI-4-11.mps,5,0,8
supportcase18.mps,5,3.7,140
supportcase33.mps,5,0,146
