instance,wall_time
b1c1s1,942
cost266-UUE,875
csched007,807
cvs16r128-89,962
eilA101-2,1155
momentum1,746
mushroom-best,1037
neos-1456979,796
neos-3024952-loue,894
neos-4387871-tavua,434
neos-4954672-berkel,1012
neos-5093327-huahum,797
rococoB10-011000,730
sorrell3,865
supportcase26,823
supportcase40,867
supportcase6,353
var-smallemery-m6j6,887
