instance,seed,1proc-1pils_objective,1proc-1pils_tuning_time,2proc-1pils_objective,2proc-1pils_tuning_time,4proc-1pils_objective,4proc-1pils_tuning_time,8proc-1pils_objective,8proc-1pils_tuning_time,16proc-1pils_objective,16proc-1pils_tuning_time,24proc-1pils_objective,24proc-1pils_tuning_time
csched007.mps,4,9.51,4604,11.56,3527,9.67,3191,9.66,3093,10.02,2988,7.23,3090
csched007.mps,5,14.04,4606,7.89,3525,9.67,3191,7.92,3091,7.61,2986,8.09,3090
csched007.mps,6,6.51,4609,10.32,3523,6.24,3192,7.78,3094,7.08,2987,7.16,3090
csched007.mps,7,13,4605,10.8,3528,10.37,3192,9.93,3095,11.42,2988,10.13,3091
csched007.mps,8,11.61,4603,11.15,3528,11.25,3192,10.02,3095,7.93,2987,9.24,3091
csched007.mps,9,8.88,4610,8.21,3522,11.33,3189,8.75,3092,8.27,2986,10.62,3090
csched007.mps,10,12.18,4606,9.93,3528,11.32,3190,10.43,3094,10.45,2988,9.66,3091
cvs16r128-89.mps,1,17.02,4638,17.51,3536,12.16,3187,13.66,3285,15.08,2937,10.26,3594
cvs16r128-89.mps,2,15.44,4632,13.63,3533,9.31,3190,8.85,3285,8.17,2939,8.85,3593
cvs16r128-89.mps,3,15.32,4639,12.67,3539,15.51,3191,11.4,3284,12.67,2939,12.67,3592
cvs16r128-89.mps,4,16.29,4640,17.12,3538,10.42,3192,15.02,3285,6.39,2938,12.29,3594
cvs16r128-89.mps,5,18.54,4639,13.78,3541,16.84,3191,14.16,3285,14.48,2939,8.31,3594
cvs16r128-89.mps,6,17.63,4641,15.94,3541,13.66,3191,13.66,3284,11.07,2938,7.49,3594
cvs16r128-89.mps,7,19.82,4641,11.55,3536,15.78,3192,15.4,3285,13.99,2938,9.51,3594
cvs16r128-89.mps,8,18.04,4633,18.04,3541,15.39,3190,10.8,3284,16.4,2938,12.21,3593
cvs16r128-89.mps,9,16.47,4635,17.15,3542,14.5,3192,14.16,3281,14.54,2938,10.17,3593
cvs16r128-89.mps,10,11.76,4636,15.45,3538,14.1,3189,14.11,3284,14.48,2939,11.67,3593
eilA101-2.mps,1,15.37,5204,16.05,4257,15.73,4325,13.89,4658,16.25,5273,14.05,5636
eilA101-2.mps,2,20.24,5195,20.24,4254,20.38,4364,20.24,4706,13.29,5295,14.27,5598
eilA101-2.mps,3,12.87,5199,14.63,4253,16.25,4329,16.25,4707,16.1,5299,12.77,5636
eilA101-2.mps,4,26.71,5217,26.71,4257,12.91,4325,16.55,4659,15.5,5307,14.08,5642
eilA101-2.mps,5,26.71,5199,26.71,4254,26.71,4320,16.55,4669,12.7,5304,15.07,5622
eilA101-2.mps,6,26.71,5201,26.71,4259,26.71,4336,16.27,4658,15.55,5283,14.21,5601
eilA101-2.mps,7,26.71,5199,18.63,4252,16.24,4332,16.27,4676,12.75,5301,12.58,5634
eilA101-2.mps,8,20.37,5198,20.37,4257,16.26,4337,16.3,4667,12.75,5291,15.5,5605
eilA101-2.mps,9,20.24,5198,20.38,4262,16.19,4320,16.21,4667,16.1,5258,16.1,5630
eilA101-2.mps,10,20.38,5205,16.55,4262,16.2,4321,16.44,4706,14.27,5279,14.04,5610
momentum1.mps,1,11.73,4227,11.71,3622,-1,3117,-1,2694,,,,
momentum1.mps,2,11.78,4220,-1,3624,-1,3115,-1,2695,-1,2808,-1,2603
momentum1.mps,3,-1,4224,-1,3626,-1,3120,-1,2695,-1,2807,-1,2604
momentum1.mps,4,11.78,4228,11.76,3623,11.77,3120,-1,2698,-1,2807,11.19,2602
momentum1.mps,5,11.76,4226,11.18,3627,11.66,3118,11.73,2698,-1,2807,-1,2603
momentum1.mps,6,11.75,4219,21.05,3622,11.17,3115,,,-1,2806,11.76,2604
momentum1.mps,7,10.87,4221,16.59,3625,11.21,3120,-1,2697,7.31,2807,-1,2604
momentum1.mps,8,11.81,4222,11.79,3623,,,11.8,2699,,,-1,2604
momentum1.mps,9,8.8,4218,11.75,3621,11.74,3119,,,11.69,2807,11.54,2604
momentum1.mps,10,13.82,4226,11.67,3621,11.8,3118,11.82,2698,11.7,2807,11.02,2605
mushroom-best.mps,1,12.47,4813,17.07,3837,17.5,3820,2.49,3607,,,,
mushroom-best.mps,2,25.25,4816,19.92,3838,15.33,3821,14.19,3608,12.39,3646,13.63,3550
mushroom-best.mps,3,14.12,4816,11.3,3842,0,3824,14.21,3609,11.32,3645,-1,3551
mushroom-best.mps,4,14.66,4816,35.61,3837,14.17,3819,13.09,3609,14.18,3644,12.75,3550
mushroom-best.mps,5,19.93,4814,14.92,3844,17.13,3824,14.21,3610,14.21,3643,0,3550
mushroom-best.mps,6,14.19,4819,19.66,3837,15.62,3822,,,-1,3645,8.49,3551
mushroom-best.mps,7,8.49,4819,19.92,3843,5.67,3822,6.4,3610,7.73,3645,8.54,3551
mushroom-best.mps,8,11.07,4819,17.1,3844,,,8.5,3606,,,11.23,3550
mushroom-best.mps,9,13.95,4814,17.06,3843,14.17,3822,,,14.24,3645,11.09,3550
mushroom-best.mps,10,17.03,4817,19.95,3848,14.21,3822,15.58,3608,14.22,3644,14.16,3551
neos-1456979.mps,1,6.08,4316,6.56,3544,7.61,3109,5.49,2799,,,,
neos-1456979.mps,2,14.92,4316,8.93,3542,5.36,3106,5.65,2798,5.51,2693,5.56,2696
neos-1456979.mps,3,13.76,4313,5.48,3540,6.18,3107,5.65,2801,3.93,2693,4.55,2696
neos-1456979.mps,4,6.11,4316,7.3,3546,6.41,3106,4.82,2799,5.11,2693,4.04,2696
neos-1456979.mps,5,6.8,4315,6.39,3543,5.56,3109,5.21,2800,5.03,2693,4.22,2696
neos-1456979.mps,6,7.09,4318,8.46,3545,6.98,3108,,,4.64,2693,5.1,2696
neos-1456979.mps,7,5.85,4318,5.65,3537,3.72,3110,3.21,2801,2.79,2693,2.24,2695
neos-1456979.mps,8,9.89,4322,6.32,3541,,,6.1,2798,,,5.08,2723
neos-1456979.mps,9,8.71,4320,6.22,3544,5.65,3110,,,6.24,2693,5.65,2696
neos-1456979.mps,10,4.98,4316,4.6,3542,4.04,3110,4.41,2801,7.73,2693,4.75,2696
neos-3024952-loue.mps,1,1.07,4490,2.13,3915,0,3236,1.06,2895,,,,
neos-3024952-loue.mps,2,2.12,4492,6.38,3909,1.86,3234,2.16,2894,4.95,1703,2.07,2117
neos-3024952-loue.mps,3,2.77,4488,1.14,3913,2.02,3236,2.49,2891,3.19,1703,1.4,2117
neos-3024952-loue.mps,4,0.81,4494,2.27,3911,1.79,3233,1.74,2895,1.84,1702,1.3,2118
neos-3024952-loue.mps,5,4.84,4487,1.05,3913,1.7,3236,1.27,2895,0.99,1703,1.02,2118
neos-3024952-loue.mps,6,4.34,4491,7.22,3914,2.63,3236,,,1.24,1703,1.36,2116
neos-3024952-loue.mps,7,1.88,4492,3.7,3911,1.49,3235,1.57,2894,1.86,1701,0,2117
neos-3024952-loue.mps,8,2.81,4485,3.21,3912,,,0.57,2893,,,0,2121
neos-3024952-loue.mps,9,2.22,4493,5.63,3916,0.93,3236,,,1.5,1703,0,2147
neos-3024952-loue.mps,10,2.67,4489,0.99,3915,1.49,3236,1.09,2895,3.13,1701,1.39,2118
neos-4387871-tavua.mps,1,0,4324,23.98,2647,19.1,1633,0,1546,0,1299,0,1281
neos-4387871-tavua.mps,2,19.57,4311,23.32,2647,19.57,1635,20.19,1537,20.1,1297,19.99,1280
neos-4387871-tavua.mps,3,19.1,4310,22.43,2648,16.81,1633,20.09,1537,20.63,1297,20.77,1280
neos-4387871-tavua.mps,4,19.74,4317,18.5,2648,20.07,1634,16.87,1537,19.46,1297,20.42,1280
neos-4387871-tavua.mps,5,18.76,4310,22.36,2647,16.4,1633,20.63,1537,19.26,1297,18.3,1280
neos-4387871-tavua.mps,6,19.9,4308,0,2645,0,1633,17.34,1537,19.98,1297,17.54,1280
neos-4387871-tavua.mps,7,17.57,4310,22.22,2648,16.16,1636,17.69,1535,19.5,1297,19.69,1280
neos-4387871-tavua.mps,8,20.01,4314,19.63,2648,0,1727,19.51,1537,0,1297,0,1294
neos-4387871-tavua.mps,9,19.01,4315,17.3,2643,17.32,1636,17.42,1536,20.32,1297,18.91,1280
neos-4387871-tavua.mps,10,17.12,4310,18.81,2641,19.97,1635,18.76,1536,19.62,1297,19.99,1280
neos-4954672-berkel.mps,1,11.59,4867,15.58,4130,11.06,3591,10.43,3283,11.23,3440,9.92,3417
neos-4954672-berkel.mps,2,11.55,4871,15.04,4132,12.56,3588,12.54,3282,11.6,3438,11.96,3415
neos-4954672-berkel.mps,3,10.93,4872,13.53,4131,12.42,3590,10.71,3282,9.95,3439,11.42,3417
neos-4954672-berkel.mps,4,10.64,4871,10.68,4134,11.33,3591,11.08,3282,-1,3439,11.63,3416
neos-4954672-berkel.mps,5,10.07,4868,15.25,4129,11.54,3589,11.82,3283,10.66,3439,10.54,3421
neos-4954672-berkel.mps,6,10.93,4867,14.57,4134,9.69,3589,11.31,3283,11.02,3440,11.08,3422
neos-4954672-berkel.mps,7,11.25,4866,13.03,4132,11.45,3591,11.61,3281,11.24,3440,-1,3417
neos-4954672-berkel.mps,8,12.09,4872,13.26,4135,11.33,3588,12.46,3282,11.31,3439,-1,3415
neos-4954672-berkel.mps,9,10.63,4872,10.23,4128,11.82,3590,11.56,3280,11.06,3440,10.83,3417
neos-4954672-berkel.mps,10,12.7,4866,14,4134,11.92,3587,10.51,3280,12.2,3439,11.67,3413
neos-5093327-huahum.mps,1,22.44,4483,23.7,3563,24.25,3157,23.84,2858,23.09,2548,23.86,2740
neos-5093327-huahum.mps,2,25.44,4479,23.98,3567,23.86,3157,24.69,2856,23.76,2548,22.68,2739
neos-5093327-huahum.mps,3,21.25,4481,25.69,3568,23.92,3158,22.33,2859,22.33,2549,22.64,2740
neos-5093327-huahum.mps,4,23.84,4479,23.85,3567,23.49,3155,22.56,2858,22.81,2549,22.35,2740
neos-5093327-huahum.mps,5,23.99,4485,23.99,3564,25.14,3153,23.67,2857,22.77,2549,22.77,2740
neos-5093327-huahum.mps,6,22.88,4486,23.88,3568,22.92,3157,22.92,2857,22.34,2549,23.71,2741
neos-5093327-huahum.mps,7,23.89,4486,23.89,3566,23.89,3150,23.9,2858,23.84,2549,23.9,2740
neos-5093327-huahum.mps,8,25.67,4482,25.52,3564,23.75,3158,22.59,2860,22.79,2549,22.54,2740
neos-5093327-huahum.mps,9,24.86,4476,24.06,3564,23.71,3154,24.04,2859,23.36,2549,21.93,2740
neos-5093327-huahum.mps,10,24.13,4477,25.14,3568,23.95,3157,24.07,2858,23.92,2549,23.35,2740
