instance,wall_time
b1c1s1,1154
cost266-UUE,1258
csched007,1187
cvs16r128-89,1247
eilA101-2,1250
momentum1,1101
mushroom-best,1315
neos-1456979,1161
neos-3024952-loue,1289
neos-4387871-tavua,1081
neos-4954672-berkel,1215
neos-5093327-huahum,1146
rococoB10-011000,1084
sorrell3,1112
supportcase26,1300
supportcase40,1161
supportcase6,575
var-smallemery-m6j6,1151
