instance,seed,1proc_obj,1proc_time_s,2proc_obj,2proc_time_s,4proc_obj,4proc_time_s,8proc_obj,8proc_time_s,16proc_obj,16proc_time_s,24proc_obj,24proc_time_s
cvs16r128-89,7,19.48,4624,16.55,3531,11.02,3183,16.04,3292,15.74,2937,10.08,NA
cvs16r128-89,8,23.51,4624,15.57,3531,17.08,3189,15.12,3297,15.96,2928,5.90,NA
cvs16r128-89,9,18.35,4630,15.31,3536,14.59,3183,15.82,3275,18.38,2927,19.35,NA
cvs16r128-89,10,16.80,4636,12.03,3533,16.76,3182,7.15,3274,15.85,2950,18.29,NA
eilA101-2,1,26.83,5187,26.70,4255,20.24,4320,22.65,4655,16.25,NA,16.20,NA
eilA101-2,2,25.98,5193,16.46,4251,16.46,4333,16.25,4650,15.63,NA,12.41,NA
eilA101-2,3,20.43,5189,16.18,4267,20.46,4324,16.46,4653,12.20,5270,20.24,NA
eilA101-2,4,17.43,5186,26.87,4260,16.58,4316,16.31,4654,12.76,NA,12.56,NA
eilA101-2,5,21.52,5190,21.53,4254,18.66,4314,20.44,4659,16.77,NA,16.20,NA
eilA101-2,6,16.91,5186,16.33,4252,12.41,4320,34.98,4662,16.29,NA,39.43,NA
eilA101-2,7,20.43,5191,20.38,4252,15.95,4326,39.28,4669,13.97,5247,12.87,NA
eilA101-2,8,17.43,5186,16.27,4252,20.05,4335,12.35,4650,32.55,NA,11.96,NA
eilA101-2,9,16.77,5194,20.24,4243,16.77,4331,15.51,4655,0.00,NA,57.51,NA
eilA101-2,10,16.41,5195,16.41,4250,12.94,4315,16.44,4650,16.77,NA,12.94,NA
momentum1,1,28.59,4212,11.87,3618,11.91,3127,33.34,2713,11.86,2795,11.81,NA
momentum1,2,25.04,4215,21.08,3622,31.86,3110,28.58,2695,11.82,2820,11.76,NA
momentum1,3,22.77,4211,16.70,3623,31.88,3120,16.71,2708,11.81,2808,11.78,2612
momentum1,4,22.00,4209,16.79,3623,25.03,3119,16.69,2710,11.84,2796,11.81,2595
momentum1,5,25.07,4210,11.78,3622,16.71,3115,11.83,2694,32.55,2796,11.69,2612
momentum1,6,21.16,4212,16.70,3626,11.72,3118,25.03,2695,16.73,2820,35.29,NA
momentum1,7,11.85,4216,11.85,3625,16.69,3110,25.03,2689,11.79,2815,11.81,NA
momentum1,8,31.46,4211,11.83,3634,16.74,3121,11.82,2695,21.07,2824,11.78,2604
momentum1,9,21.11,4215,11.80,3621,21.09,3116,18.09,2697,28.60,2796,34.16,NA
momentum1,10,26.47,4213,16.81,3627,25.04,3116,11.77,2691,26.25,2800,11.82,NA
mushroom-best,1,29.90,4804,0.00,3839,19.75,3818,25.66,3623,7.49,3635,14.75,NA
mushroom-best,2,25.60,4811,16.45,3837,19.87,3814,25.23,3606,18.45,3636,14.21,NA
mushroom-best,3,19.93,4813,17.07,3838,23.50,3840,14.17,3602,14.19,3643,0.00,NA
mushroom-best,4,0.00,4803,16.05,3839,17.71,3837,14.14,3611,14.17,3648,3.55,NA
mushroom-best,5,21.64,4808,18.02,3845,17.07,3815,14.24,3600,51.65,NA,14.23,NA
mushroom-best,6,23.95,4802,24.28,3847,14.21,3825,28.50,3608,32.82,NA,61.91,NA
mushroom-best,7,22.82,4804,13.88,3847,17.12,3815,22.77,3605,5.67,3653,14.20,NA
mushroom-best,8,17.11,4809,19.85,3837,36.05,3816,14.25,3607,26.76,NA,12.21,NA
mushroom-best,9,28.51,4802,14.25,3846,17.04,3814,18.43,3615,49.28,NA,57.02,NA
mushroom-best,10,20.81,4807,14.22,3841,23.56,3815,13.20,3600,25.18,NA,44.17,NA
neos-1456979,1,8.84,4304,5.58,3538,5.93,3100,7.67,2788,4.49,2697,5.24,NA
neos-1456979,2,7.60,4308,4.25,3547,8.69,3095,7.34,2791,5.27,2695,3.39,NA
neos-1456979,3,12.01,4305,5.65,3531,7.73,3101,5.65,2796,5.62,2683,4.92,2689
neos-1456979,4,14.10,4303,5.65,3538,6.21,3111,4.36,2811,7.78,2700,6.18,NA
neos-1456979,5,9.29,4307,4.72,3538,5.65,3100,5.30,2793,9.39,2681,4.52,2684
neos-1456979,6,7.30,4312,6.70,3536,4.49,3102,8.94,2794,7.22,2699,9.44,NA
neos-1456979,7,12.85,4304,3.84,3539,6.78,3102,6.46,2793,0.00,2695,5.08,NA
neos-1456979,8,5.65,4308,5.65,3545,6.18,3108,2.75,2812,9.27,2685,5.10,2701
neos-1456979,9,9.09,4306,7.30,3537,8.10,3106,6.78,2805,9.73,2685,7.47,NA
neos-1456979,10,6.57,4312,3.60,3540,6.67,3100,2.82,2791,7.34,2682,7.87,NA
neos-3024952-loue,1,9.79,4476,0.00,3907,2.65,3245,15.55,2896,2.62,1692,1.99,NA
neos-3024952-loue,2,12.90,4483,5.00,3911,2.48,3227,10.70,2891,4.99,1704,5.81,2124
neos-3024952-loue,3,5.88,4479,2.27,3899,15.49,3246,3.38,2885,3.58,1695,5.14,2123
neos-3024952-loue,4,10.00,4483,2.69,3906,8.98,3233,1.34,2886,6.76,1705,3.62,2113
neos-3024952-loue,5,2.13,4484,0.71,3914,1.97,3226,0.96,2894,19.32,1699,0.72,2106
neos-3024952-loue,6,2.67,4482,2.57,3912,1.03,3232,6.73,2885,11.77,1701,21.10,NA
neos-3024952-loue,7,10.53,4480,0.96,3908,1.42,3249,11.19,2889,0.73,1693,0.72,2113
neos-3024952-loue,8,7.02,4476,2.08,3912,3.28,3235,5.63,2902,18.02,1692,0.70,2109
neos-3024952-loue,9,13.87,4478,5.08,3907,10.88,3229,4.28,2884,8.67,1692,23.32,NA
neos-3024952-loue,10,10.23,4479,5.68,3913,10.78,3228,0.94,2904,14.41,1693,9.56,NA
neos-4387871-tavua,1,25.79,4304,20.60,2642,23.09,1645,21.65,1528,26.33,1286,21.39,1270
neos-4387871-tavua,2,27.04,4301,24.23,2652,26.89,1630,23.30,1520,19.95,1293,23.30,1269
neos-4387871-tavua,3,31.58,4298,21.30,2648,20.76,1627,18.51,1539,26.39,1286,25.04,1288
neos-4387871-tavua,4,26.74,4298,21.16,2645,20.46,1638,18.76,1533,26.71,1296,18.88,1280
neos-4387871-tavua,5,27.30,4304,24.37,2639,23.20,1627,18.36,1531,24.78,1295,22.36,1274
neos-4387871-tavua,6,29.46,4299,24.68,2647,23.99,1627,22.27,1528,23.68,1286,23.54,1282
neos-4387871-tavua,7,25.81,4298,23.35,2641,24.23,1643,19.24,1543,26.36,1293,21.21,1272
neos-4387871-tavua,8,28.48,4302,23.13,2649,26.30,1628,20.92,1529,20.37,1284,25.17,1269
neos-4387871-tavua,9,26.14,4304,19.99,2642,23.19,1633,20.65,1528,28.23,1287,19.48,1286
neos-4387871-tavua,10,26.75,4301,22.13,2635,21.23,1633,19.85,1523,22.24,1287,18.03,1282
neos-4954672-berkel,1,16.26,4858,13.61,4131,15.18,3584,14.15,3280,16.62,NA,20.88,NA
neos-4954672-berkel,2,19.65,4857,17.38,4130,19.41,3584,13.49,3280,11.76,3440,18.59,NA
neos-4954672-berkel,3,17.74,4856,12.17,4128,11.65,3581,12.94,3272,21.24,NA,22.95,NA
neos-4954672-berkel,4,19.09,4858,13.71,4132,11.96,3581,10.47,3272,19.08,NA,10.74,NA
neos-4954672-berkel,5,17.71,4862,11.46,4128,11.56,3587,12.10,3292,21.33,NA,16.89,NA
neos-4954672-berkel,6,15.26,4861,12.30,4125,18.80,3591,19.03,3298,21.28,NA,17.46,NA
neos-4954672-berkel,7,15.45,4858,12.39,4128,20.92,3586,10.63,3274,20.68,NA,10.65,NA
neos-4954672-berkel,8,17.39,4854,14.04,4128,18.41,3585,13.78,3283,11.05,3427,21.76,NA
neos-4954672-berkel,9,15.54,4854,13.37,4116,12.70,3586,13.80,3283,19.04,NA,13.16,NA
neos-4954672-berkel,10,16.24,4860,9.65,4141,21.38,3581,11.13,3287,11.67,3449,12.13,NA
neos-5093327-huahum,1,24.43,4472,24.20,3563,24.52,3149,23.77,2856,24.35,2540,24.63,NA
neos-5093327-huahum,2,27.50,4474,24.78,3567,25.06,3149,24.17,2873,22.49,2541,24.05,NA
neos-5093327-huahum,3,24.50,4476,24.18,3568,23.18,3156,23.20,2864,26.01,2540,26.17,NA
neos-5093327-huahum,4,25.44,4471,25.44,3561,24.07,3148,23.00,2865,25.13,2545,23.46,2748
neos-5093327-huahum,5,26.95,4467,25.02,3563,24.07,3151,23.63,2856,24.72,2542,24.40,NA
neos-5093327-huahum,6,25.58,4470,24.25,3568,24.30,3148,24.66,2874,26.59,2543,24.14,NA
neos-5093327-huahum,7,27.96,4467,24.05,3568,25.17,3154,23.96,2868,26.00,2560,24.00,2746
neos-5093327-huahum,8,26.11,4470,25.57,3562,23.97,3167,22.73,2859,22.69,2553,26.03,NA
neos-5093327-huahum,9,28.01,4466,25.93,3564,24.08,3158,24.36,2849,25.42,2555,23.90,NA
neos-5093327-huahum,10,25.54,4475,25.42,3566,24.61,3153,23.53,2865,23.95,2544,23.91,2735
rococoB10-011000,1,29.08,4487,21.52,3533,27.09,3190,21.14,2784,29.22,2665,29.28,NA
rococoB10-011000,2,28.59,4489,21.19,3518,29.66,3196,20.01,2792,16.16,2674,29.30,NA
rococoB10-011000,3,31.18,4489,19.53,3518,16.26,3193,17.05,2790,28.90,2662,30.31,NA
rococoB10-011000,4,29.85,4483,21.63,3530,20.48,3207,17.02,2801,31.22,2671,16.55,2987
rococoB10-011000,5,30.61,4484,20.99,3518,16.99,3196,17.24,2783,27.10,2662,29.44,NA
rococoB10-011000,6,25.96,4483,19.36,3521,28.59,3215,29.44,2797,28.58,2664,28.22,NA
rococoB10-011000,7,30.82,4484,20.41,3519,25.10,3195,16.85,2783,29.60,2672,18.92,NA
rococoB10-011000,8,29.31,4485,24.17,3518,29.74,3189,29.21,2790,17.79,2651,30.45,NA
rococoB10-011000,9,26.28,4487,18.86,3520,17.50,3200,20.20,2794,29.40,2675,20.90,NA
rococoB10-011000,10,30.53,4480,21.56,3517,28.99,3211,20.06,2796,17.60,2651,15.37,NA
sorrell3,1,24.10,4483,23.69,3832,23.84,2816,23.72,4178,24.06,NA,24.53,NA
sorrell3,2,24.42,4508,23.98,3834,23.98,2814,22.85,4160,21.32,NA,23.90,NA
sorrell3,3,26.32,4480,24.08,3825,23.52,2814,23.42,4174,24.98,NA,24.65,NA
sorrell3,4,24.02,4479,24.00,3828,23.77,2825,21.17,4155,24.96,NA,22.75,NA
sorrell3,5,24.03,4479,24.03,3856,23.59,2814,22.15,4174,24.38,NA,24.13,NA
sorrell3,6,23.94,4493,23.86,3825,24.01,2814,24.38,4166,24.44,NA,23.74,NA
sorrell3,7,24.23,4518,24.23,3825,24.21,2832,22.07,4176,25.01,NA,23.11,NA
sorrell3,8,24.61,4477,24.61,3825,24.32,2816,22.45,4169,21.25,5630,24.68,NA
sorrell3,9,24.37,4478,23.98,3830,23.98,2820,22.37,4185,23.93,NA,23.72,NA
sorrell3,10,23.78,4518,23.77,3829,23.87,2815,22.60,4173,21.31,NA,21.39,NA
supportcase26,1,0.01,5091,0.01,4232,5.68,3610,4.46,3393,6.75,3239,12.54,NA
supportcase26,2,3.77,5090,0.01,4232,8.01,3610,0.44,3412,0.41,3213,3.93,NA
supportcase26,3,0.11,5093,0.01,4226,0.01,3613,2.30,3387,8.33,NA,12.44,NA
supportcase26,4,1.38,5106,0.14,4214,1.74,3613,0.01,3390,5.61,3218,0.01,NA
supportcase26,5,0.54,5088,0.91,4231,2.27,3611,0.00,3406,8.64,3220,8.26,NA
supportcase26,6,8.51,5086,2.07,4219,4.45,3611,10.94,3392,7.82,NA,6.86,NA
supportcase26,7,14.07,5092,0.01,4231,7.67,3603,0.01,3383,9.63,3232,0.00,NA
supportcase26,8,8.56,5091,0.01,4226,4.66,3612,4.16,3401,0.01,3225,10.09,NA
supportcase26,9,2.32,5095,0.01,4220,2.34,3612,3.08,3409,4.40,3220,0.01,NA
supportcase26,10,4.02,5095,0.25,4232,4.40,3620,0.24,3390,0.01,3216,0.01,NA
supportcase40,1,5.16,4727,2.82,3737,4.51,3608,4.53,3426,5.37,2819,5.41,NA
supportcase40,2,4.20,4733,4.30,3737,4.79,3621,4.56,3410,2.19,2841,4.95,NA
supportcase40,3,4.91,4730,3.30,3743,1.82,3607,2.66,3406,5.15,2822,4.62,NA
supportcase40,4,6.20,4731,3.44,3741,3.61,3628,1.54,3414,4.75,2816,2.06,NA
supportcase40,5,4.99,4729,2.34,3735,2.95,3615,2.30,3405,5.18,2825,4.63,NA
supportcase40,6,3.63,4730,2.65,3736,4.60,3608,3.99,3422,4.60,2822,2.84,NA
supportcase40,7,4.63,4727,3.86,3744,4.62,3624,1.70,3404,5.35,2830,1.76,NA
supportcase40,8,5.74,4734,4.79,3744,5.05,3613,4.34,3422,1.49,2818,5.58,NA
supportcase40,9,4.66,4732,3.35,3745,2.53,3625,4.30,3406,4.94,2824,3.47,NA
supportcase40,10,5.04,4729,3.52,3741,4.74,3616,2.36,3412,2.64,2832,2.42,NA
supportcase6,1,0.01,2318,0.01,1964,0.04,2336,0.01,1611,0.01,1259,13.06,1269
supportcase6,2,0.01,2318,0.00,1966,0.00,2327,0.00,1615,0.00,1259,0.00,1259
supportcase6,3,0.01,2316,0.01,1962,0.00,2318,0.00,1611,0.02,1259,0.21,1271
supportcase6,4,0.01,2318,0.01,1963,0.00,2320,0.00,1625,0.00,1266,0.00,1260
supportcase6,5,0.00,2324,0.00,1968,0.00,2320,0.00,1613,0.01,1262,0.00,1264
supportcase6,6,0.01,2321,0.00,1966,0.00,2320,0.00,1611,0.00,1257,0.00,1251
supportcase6,7,0.01,2319,0.01,1968,0.00,2330,0.00,1619,0.03,1257,0.00,1248
supportcase6,8,0.00,2321,0.00,1965,0.00,2338,0.00,1613,0.00,1255,0.01,1251
supportcase6,9,0.01,2320,0.00,1966,0.00,2325,0.00,1611,0.04,1258,0.00,1260
supportcase6,10,0.00,2323,0.00,1963,0.00,2324,0.00,1611,0.00,1256,0.00,1251
var-smallemery-m6j6,1,3.36,4675,2.75,3927,3.94,3264,3.89,3064,2.94,3176,4.10,NA
var-smallemery-m6j6,2,3.89,4674,3.18,3936,4.20,3265,3.65,3068,2.27,3168,3.98,NA
var-smallemery-m6j6,3,0.00,4676,3.07,3930,2.89,3264,2.53,3061,3.99,3184,5.37,NA
var-smallemery-m6j6,4,3.84,4669,3.71,3922,3.33,3269,2.73,3070,4.06,3192,1.68,NA
var-smallemery-m6j6,5,3.99,4670,3.22,3925,2.32,3265,2.30,3058,3.87,3187,3.95,NA
var-smallemery-m6j6,6,3.65,4678,3.47,3923,4.18,3268,4.89,3070,4.22,3174,0.00,NA
var-smallemery-m6j6,7,3.50,4668,2.76,3926,3.11,3284,1.99,3060,3.95,3182,1.88,NA
var-smallemery-m6j6,8,4.20,4677,2.48,3926,4.11,3264,2.05,3056,1.85,3192,4.47,NA
var-smallemery-m6j6,9,2.51,4673,2.46,3926,2.29,3272,2.51,3071,3.78,3177,3.76,NA
var-smallemery-m6j6,10,4.23,4674,3.09,3928,4.08,3273,2.33,3063,1.98,3175,1.84,NA
