instance,wall_time
b1c1s1,285
cost266-UUE,263
csched007,287
cvs16r128-89,293
eilA101-2,340
momentum1,254
mushroom-best,325
neos-1456979,268
neos-3024952-loue,276
neos-4387871-tavua,246
neos-4954672-berkel,284
neos-5093327-huahum,252
rococoB10-011000,264
sorrell3,241
supportcase26,293
supportcase40,274
supportcase6,137
var-smallemery-m6j6,268
