instance,n_evaluations
b1c1s1,158
cost266-UUE,145
csched007,184
cvs16r128-89,186
eilA101-2,144
momentum1,143
mushroom-best,204
neos-1456979,174
neos-3024952-loue,184
neos-4387871-tavua,168
neos-4954672-berkel,184
neos-5093327-huahum,185
rococoB10-011000,157
sorrell3,210
supportcase26,156
supportcase40,156
supportcase6,156
var-smallemery-m6j6,186
