instance,wall_time
b1c1s1,4291
cost266-UUE,4498
csched007,4591
cvs16r128-89,4621
eilA101-2,5568
momentum1,4208
mushroom-best,4801
neos-1456979,4303
neos-3024952-loue,4475
neos-4387871-tavua,4297
neos-4954672-berkel,4853
neos-5093327-huahum,4466
rococoB10-011000,4480
sorrell3,5621
supportcase26,5085
supportcase40,4725
supportcase6,2314
var-smallemery-m6j6,4668
