instance,n_evaluations
b1c1s1,111
cost266-UUE,112
csched007,133
cvs16r128-89,137
eilA101-2,106
momentum1,110
mushroom-best,182
neos-1456979,116
neos-3024952-loue,141
neos-4387871-tavua,114
neos-4954672-berkel,146
neos-5093327-huahum,131
rococoB10-011000,109
sorrell3,157
supportcase26,128
supportcase40,128
supportcase6,128
var-smallemery-m6j6,150
