instance,n_evaluations
b1c1s1,146
cost266-UUE,119
csched007,156
cvs16r128-89,175
eilA101-2,121
momentum1,126
mushroom-best,172
neos-1456979,144
neos-3024952-loue,177
neos-4387871-tavua,136
neos-4954672-berkel,175
neos-5093327-huahum,158
rococoB10-011000,130
sorrell3,173
supportcase26,130
supportcase40,130
supportcase6,130
var-smallemery-m6j6,158
