instance,n_evaluations
b1c1s1,298
cost266-UUE,285
csched007,327
cvs16r128-89,315
eilA101-2,283
momentum1,310
mushroom-best,358
neos-1456979,298
neos-3024952-loue,332
neos-4387871-tavua,292
neos-4954672-berkel,309
neos-5093327-huahum,292
rococoB10-011000,281
sorrell3,320
supportcase26,300
supportcase40,300
supportcase6,300
var-smallemery-m6j6,308
