instance,1proc_obj,1proc_time_s,2proc_obj,2proc_time_s,4proc_obj,4proc_time_s,8proc_obj,8proc_time_s,16proc_obj,16proc_time_s,24proc_obj,24proc_time_s
b1c1s1,NA,NA,23.5113,2425,23.5113,1150,23.5113,638,23.5113,359,23.5113,283
cost266-UUE,NA,NA,8.5806,2300,8.5806,1250,8.5806,669,8.5806,372,8.5806,262
csched007,NA,NA,29.2695,2350,29.2695,1188,28.4616,675,29.2695,375,29.5869,285
cvs16r128-89,NA,NA,23.5780,2350,23.5121,1238,23.5121,694,23.5780,362,23.5121,292
eilA101-2,NA,NA,26.7062,2258,26.7062,1242,26.7062,668,26.7062,427,26.7062,340
momentum1,NA,NA,21.0591,2025,21.0591,1100,24.9761,550,25.0265,325,28.5451,254
mushroom-best,NA,NA,50.5256,2250,50.5256,1312,50.5256,725,50.5256,459,50.5256,324
neos-1456979,NA,NA,17.2923,2225,17.2923,1150,17.2923,631,17.4712,366,17.4712,267
neos-3024952-loue,NA,NA,9.0990,2275,9.5690,1288,9.5097,675,10.0033,397,10.0033,275
neos-4387871-tavua,NA,NA,21.3084,1300,21.2440,1075,21.2134,700,21.3084,369,21.2440,246
neos-4954672-berkel,NA,NA,13.1493,2375,13.0269,1212,13.0377,694,13.1981,372,13.0595,283
neos-5093327-huahum,NA,NA,28.0877,2200,28.0877,1138,28.0877,656,28.0877,331,28.0877,252
rococoB10-011000,NA,NA,22.8448,2225,22.8417,1075,22.5452,612,22.8417,341,22.8417,262
sorrell3,NA,NA,33.0024,2275,33.0024,1112,33.0024,625,33.0024,353,33.0024,240
supportcase26,NA,NA,12.9705,2700,13.0265,1300,12.8927,704,13.3555,384,12.8264,292
supportcase40,NA,NA,5.5448,2450,5.5448,1150,5.5448,638,5.5529,366,5.5448,273
supportcase6,NA,NA,13.1676,1800,13.1676,575,13.1676,381,13.1676,219,13.1676,135
var-smallemery-m6j6,NA,NA,4.0503,2275,4.0503,1150,4.1377,638,4.0610,366,4.0503,267
mean,NA,NA,20.2082,2225,20.2232,1150,20.3725,642,20.5138,363,20.6815,268
