instance,wall_time
b1c1s1,361
cost266-UUE,374
csched007,377
cvs16r128-89,363
eilA101-2,428
momentum1,326
mushroom-best,460
neos-1456979,368
neos-3024952-loue,399
neos-4387871-tavua,369
neos-4954672-berkel,374
neos-5093327-huahum,332
rococoB10-011000,343
sorrell3,355
supportcase26,385
supportcase40,366
supportcase6,220
var-smallemery-m6j6,366
