instance,1proc_obj,1proc_time_s,2proc_obj,2proc_time_s,4proc_obj,4proc_time_s,8proc_obj,8proc_time_s,16proc_obj,16proc_time_s,24proc_obj,24proc_time_s
b1c1s1,18.25,4295,15.46,3840,15.68,3089,16.38,3285,14.74,3739,14.45,NA
cost266-UUE,6.87,4501,6.10,3817,6.17,3381,6.17,2671,6.14,2891,5.88,2395
csched007,13.15,4599,11.90,3524,11.03,3184,10.42,3094,10.76,2977,10.37,NA
cvs16r128-89,18.23,4629,15.49,3534,15.83,3183,15.12,3278,15.15,2935,14.18,NA
eilA101-2,17.43,5189,16.46,4252,16.58,4320,16.44,4654,15.63,5247,12.94,NA
momentum1,22.77,4212,11.87,3623,16.74,3116,16.71,2695,11.86,2800,11.81,2604
mushroom-best,21.64,4804,16.05,3839,17.71,3815,14.25,3606,18.45,3643,14.21,NA
neos-1456979,8.84,4306,5.58,3538,6.21,3101,5.65,2793,7.22,2685,5.10,2689
neos-3024952-loue,9.79,4479,2.27,3908,2.65,3232,4.28,2889,6.76,1693,3.62,2113
neos-4387871-tavua,26.75,4301,22.13,2642,23.19,1630,19.85,1528,24.78,1287,21.39,1274
neos-4954672-berkel,16.26,4858,12.39,4128,15.18,3584,12.94,3280,19.04,3440,16.89,NA
neos-5093327-huahum,25.58,4470,24.78,3564,24.08,3151,23.63,2864,24.72,2543,24.05,2746
rococoB10-011000,29.31,4484,20.99,3518,25.10,3196,20.01,2790,28.58,2664,28.22,2987
sorrell3,24.10,4480,23.98,3828,23.87,2815,22.45,4173,24.06,5630,23.74,NA
supportcase26,2.32,5091,0.01,4226,4.40,3611,0.44,3392,5.61,3220,3.93,NA
supportcase40,4.91,4730,3.35,3741,4.51,3615,2.66,3410,4.75,2822,3.47,NA
supportcase6,0.01,2319,0.00,1965,0.00,2324,0.00,1611,0.00,1258,0.00,1259
var-smallemery-m6j6,3.65,4674,3.07,3926,3.33,3265,2.51,3063,3.78,3177,3.76,NA
mean,14.99,4467,11.77,3634,12.90,3200,11.66,3059,13.45,3036,12.11,2258
