instance,1proc_obj,1proc_time_s,2proc_obj,2proc_time_s,4proc_obj,4proc_time_s,8proc_obj,8proc_time_s,16proc_obj,16proc_time_s,24proc_obj,24proc_time_s
b1c1s1,18.25,4295,17.39,2440,19.33,1164,19.43,652,24.46,372,21.52,295
cost266-UUE,6.87,4501,7.07,2322,7.09,1269,7.46,685,8.03,384,7.37,273
csched007,13.15,4599,13.87,2363,16.82,1031,16.44,687,19.40,385,14.37,298
cvs16r128-89,18.23,4629,18.36,2385,18.37,1264,18.41,707,22.52,373,21.26,304
eilA101-2,17.43,5189,18.60,2283,26.87,1264,31.71,683,32.65,439,17.43,351
momentum1,22.77,4212,25.06,2043,25.01,1112,37.56,566,50.63,336,31.46,264
mushroom-best,21.64,4804,23.23,2280,35.63,1329,30.90,743,57.08,481,35.18,336
neos-1456979,8.84,4306,9.39,2255,12.11,1171,14.44,647,15.38,373,12.45,278
neos-3024952-loue,9.79,4479,7.28,2293,12.00,1302,10.57,689,19.24,409,14.70,286
neos-4387871-tavua,26.75,4301,28.48,1316,29.46,1091,23.42,711,31.33,379,32.87,248
neos-4954672-berkel,16.26,4858,20.40,2392,16.98,1230,18.78,707,23.61,385,23.67,294
neos-5093327-huahum,25.58,4470,25.56,2221,26.80,956,27.23,667,30.86,342,29.37,262
rococoB10-011000,29.31,4484,29.85,2240,30.23,1095,30.53,624,32.85,354,31.70,274
sorrell3,24.10,4480,24.08,2300,24.10,1127,24.10,641,27.34,366,26.39,252
supportcase26,2.32,5091,1.64,2732,4.39,1314,7.76,720,15.09,396,12.67,303
supportcase40,4.91,4730,4.73,2478,5.30,1172,5.18,648,6.98,376,6.11,284
supportcase6,0.01,2319,0.01,1831,0.01,587,0.01,395,0.12,231,13.20,148
var-smallemery-m6j6,3.65,4674,3.79,2302,3.81,1160,3.83,647,5.65,377,5.38,278
mean,14.99,4467,15.49,2248,17.46,1146,18.21,656,23.51,375,19.84,279
