instance,seed,1proc-1pils_objective,1proc-1pils_tuning_time,2proc-1pils_objective,2proc-1pils_tuning_time,2proc-2pils_objective,2proc-2pils_tuning_time,4proc-1pils_objective,4proc-1pils_tuning_time,4proc-4pils_objective,4proc-4pils_tuning_time,8proc-1pils_objective,8proc-1pils_tuning_time,8proc-8pils_objective,8proc-8pils_tuning_time,16proc-1pils_objective,16proc-1pils_tuning_time,16proc-16pils_objective,16proc-16pils_tuning_time,24proc-1pils_objective,24proc-1pils_tuning_time,24proc-2pils_objective,24proc-2pils_tuning_time,24proc-3pils_objective,24proc-3pils_tuning_time,24proc-4pils_objective,24proc-4pils_tuning_time,24proc-6pils_objective,24proc-6pils_tuning_time,24proc-8pils_objective,24proc-8pils_tuning_time,24proc-12pils_objective,24proc-12pils_tuning_time,24proc-24pils_objective,24proc-24pils_tuning_time
cost266-UUE.mps,10,4.76,4204,4.69,2910,4.69,2199,4.36,3477,4.52,1258,4.36,3366,4.37,705,4.36,3300,4.26,364,4.69,2165,3.91,1903,4.25,1529,4.36,840,4.24,548,4.42,593,4.36,481,4.43,324
csched007.mps,1,9.83,4591,8.93,3510,6.13,2481,7.81,3488,9.81,1248,5.91,2873,7.71,779,6.3,2389,7.64,377,5.25,4301,6.46,1303,6.13,1191,7.64,682,6.74,745,6.31,503,6.84,438,7.1,357
csched007.mps,2,7.15,5802,8.3,4195,6.13,2236,6.43,2782,8.4,1115,7.57,3074,6.38,656,6.57,3084,6.37,386,6.13,2871,5.85,1669,,,6.29,905,6.14,619,6.17,552,5.7,379,5.38,266
csched007.mps,3,7.53,5630,7.72,4137,6.35,2238,7.57,2883,5.71,1273,6.52,3360,7.54,728,5.95,3295,5.77,347,6.3,2915,6.13,1649,6.43,1325,6.75,890,6.18,653,6.48,555,,,6.84,434
csched007.mps,4,8.66,4910,9.21,3804,6.92,2579,6.14,3173,6.43,1155,6.58,2872,6.81,564,6.31,2595,6.43,283,,,6.13,1400,,,6.13,807,6.43,584,6.32,473,6.43,338,6.43,255
csched007.mps,5,9.28,3888,6.83,4408,8.61,2539,6.05,3485,6.74,1551,5.38,2656,5.57,912,6.43,2258,7.39,355,,,6.43,1457,,,6.46,853,6.61,601,6.46,567,8.6,405,6.04,325
csched007.mps,6,6.81,4099,8.89,3320,8.22,2450,6.52,2975,6.86,1175,6.85,3379,6.13,575,5.94,3203,7.72,419,6.84,3689,6.73,1496,6.13,919,6.43,680,6.46,713,6.43,497,6.13,337,7.63,287
csched007.mps,7,5.63,5813,6.13,3722,10.82,2258,6.13,2782,6.85,1325,6.44,3479,9.73,746,6.48,3087,6.38,427,6.81,2868,6.13,1547,,,,,6.32,604,6.13,602,9.38,501,9.07,330
csched007.mps,8,8.87,4591,6.81,3419,6.13,2166,6.34,3371,7.82,1155,5.17,3491,12.23,675,6.58,2273,5.76,447,6.14,3191,6.43,1562,6.43,963,,,5.95,697,6.43,513,6.03,430,8.81,284
csched007.mps,9,6.13,3700,6.43,3510,6.27,2348,4.94,3892,6.42,1187,6.43,3159,7.59,737,6.76,3704,9.14,367,6.05,3068,6.58,1708,5.38,968,6.58,793,6.81,498,6.81,459,6.24,513,6.9,317
