instance,seed,1proc-1pils_objective,1proc-1pils_tuning_time,2proc-1pils_objective,2proc-1pils_tuning_time,2proc-2pils_objective,2proc-2pils_tuning_time,4proc-1pils_objective,4proc-1pils_tuning_time,4proc-4pils_objective,4proc-4pils_tuning_time,8proc-1pils_objective,8proc-1pils_tuning_time,8proc-8pils_objective,8proc-8pils_tuning_time,16proc-1pils_objective,16proc-1pils_tuning_time,16proc-16pils_objective,16proc-16pils_tuning_time,24proc-1pils_objective,24proc-1pils_tuning_time,24proc-2pils_objective,24proc-2pils_tuning_time,24proc-3pils_objective,24proc-3pils_tuning_time,24proc-4pils_objective,24proc-4pils_tuning_time,24proc-6pils_objective,24proc-6pils_tuning_time,24proc-8pils_objective,24proc-8pils_tuning_time,24proc-12pils_objective,24proc-12pils_tuning_time,24proc-24pils_objective,24proc-24pils_tuning_time
neos-4387871-tavua.mps,2,20.05,4598,0,2628,0,1309,0,1544,18.55,1219,0,1636,0,297,0,1268,18.06,401,0,1682,0,809,0,538,0,485,0,263,19.25,490,0,152,18.44,291
neos-4387871-tavua.mps,3,19.55,4270,19.01,3947,18.79,2513,0,1334,18.55,1228,0,1377,19.36,659,0,1267,20.42,370,0,1161,0,759,0,844,0,353,18.71,831,19.26,427,0,152,20.6,246
neos-4387871-tavua.mps,4,20.54,4344,17.81,4321,20.11,2523,0,1953,19.25,1181,19.86,2759,18.95,758,0,1681,16.97,369,0,1159,0,848,0,779,0,583,0,334,0,277,0,161,0,117
neos-4387871-tavua.mps,5,19.42,4408,0,1535,0,1215,,,18.06,1081,0,1517,0,472,0,1470,19.26,395,0,2103,0,615,0,434,0,395,0,262,0,302,0,211,17.76,363
neos-4387871-tavua.mps,6,19.46,4667,0,2194,19.94,2565,0,1425,0,569,0,1285,17.47,757,0,1681,18.06,351,0,1290,0,1004,0,822,0,361,0,265,0,378,18.11,431,17.77,355
neos-4387871-tavua.mps,7,20.7,4048,0,1636,18.47,2433,0,1901,0,523,0,1215,0,296,0,1581,0,193,0,1202,0,656,0,631,0,589,0,376,0,273,0,186,0,149
neos-4387871-tavua.mps,8,0,2064,17.65,4651,0,984,0,1615,0,504,0,1517,20.01,730,0,1267,18.44,376,0,1259,0,619,0,535,0,473,0,243,0,213,0,217,0,111
neos-4387871-tavua.mps,9,18.09,4297,0,2091,20.27,2396,17.53,3281,20.6,1163,0,1315,19.55,749,0,1286,0,194,0,1162,0,981,0,602,0,450,0,303,0,496,18.67,348,17.71,322
neos-4387871-tavua.mps,10,0,4494,18.39,3630,0,1285,0,1616,0,522,17.81,2980,19.47,700,0,1190,19.26,345,0,1457,0,807,0,745,0,404,0,363,0,225,0,281,17.77,318
neos-4954672-berkel.mps,1,12.6,4853,11.96,4231,11.12,2993,10.67,3479,12.31,1166,10.68,3684,12.45,583,12.12,2777,11.87,384,12.28,3304,11.37,1650,11.65,1227,12.12,1012,11.96,755,10.73,605,13.13,355,11.1,324
neos-4954672-berkel.mps,2,10.87,5151,14.63,4025,12.38,2148,12.09,3196,12.34,1176,12.28,3791,10.49,747,11.55,3730,11.91,386,11.18,3470,12.13,1814,11.16,1441,11.76,1013,12.62,548,10.91,686,12.62,344,11.86,295
neos-4954672-berkel.mps,3,12.44,4886,12.42,4792,12.87,2299,11.32,3974,12.33,1317,11.46,3070,11.81,847,11.52,3090,12.58,343,9.44,3559,11.9,1757,13.13,1035,9.49,1139,10.87,737,11.43,591,12.15,440,11.03,304
neos-4954672-berkel.mps,4,12.33,5779,11.59,3914,12.84,2381,12.18,3575,12.12,1186,12.62,3359,12.57,716,10.17,4318,11.04,364,12.19,3383,10.6,1979,10.56,1338,,,10.04,846,12.09,467,12.62,345,12.34,274
neos-4954672-berkel.mps,5,12.25,4733,11.98,4549,12.31,2639,,,12.23,1257,12.19,3073,12.7,603,12.11,3606,12.01,385,11.11,3473,12.18,1805,12.04,1389,11.3,812,11.63,629,11.63,529,11.27,491,12.64,244
neos-4954672-berkel.mps,6,10.89,5517,12.95,4115,15.29,2466,12.84,3891,12.62,1095,12.08,2970,12.47,697,12.24,2883,12.63,303,12.08,3298,11.76,1644,11.8,1252,11.3,1067,12.14,683,,,10.99,428,11.04,254
neos-4954672-berkel.mps,7,12.82,4271,12.02,3692,15.78,2265,12.62,3571,12.38,1347,11.13,3897,11.98,737,12.02,3597,11.26,425,10.74,3808,11.29,1475,10.84,1412,12.16,792,12.02,744,11.38,486,12.13,459,10.66,296
neos-4954672-berkel.mps,8,12.61,4379,12.93,4275,12.16,2088,12.14,3390,11.84,1246,11.52,3202,11.34,780,11.68,3415,11.27,343,11.63,3393,12.04,1719,11.67,1349,12.62,739,12,507,12.08,519,11.95,448,10.67,284
neos-4954672-berkel.mps,9,11.6,4651,12.06,4389,12.59,2510,11.63,3164,11.05,1317,11.95,3262,11.39,645,12.08,3417,11.6,465,11.63,3090,11.85,1694,11.62,1164,11.08,1083,11.63,640,10.38,727,12.14,481,11.46,325
neos-4954672-berkel.mps,10,12.04,5062,11.96,3824,12.01,2431,10.09,3586,12.58,1215,10.1,4027,12.76,624,10.16,4473,12.62,374,11.58,3605,11.75,1819,11.9,1156,12.11,966,11.07,796,12.62,508,12.17,406,12.06,275
neos-5093327-huahum.mps,1,23.28,4698,25.21,3654,23.33,2216,24.33,3321,23.33,1104,21.97,2928,23.33,616,22.56,2194,25.62,299,21.97,2838,21.97,1442,23.33,1035,23.33,693,24.36,575,23.33,426,25.62,321,25.62,252
neos-5093327-huahum.mps,2,25.12,4723,25.2,3550,22.82,1950,23.71,3244,23.22,1209,20.9,3417,22.17,575,23.33,2298,22.17,342,21.77,2952,21.97,1433,24.11,1226,22.17,850,23.33,580,22.96,450,22.17,328,23.14,270
neos-5093327-huahum.mps,3,25.06,4408,25.15,3468,23.33,2022,22.17,2636,25.43,1232,22.17,3031,24.78,752,22.17,2422,25.62,289,23.08,2301,23.33,1312,24.06,979,23.14,825,23.33,589,21.71,549,23.47,335,23.68,249
neos-5093327-huahum.mps,4,25.09,4054,25.1,3676,25.27,2257,23.74,3024,23.71,1195,23.33,2400,25.27,606,21.32,2528,25.62,353,22.53,2608,23.24,1330,23.33,1038,21.71,991,23.63,688,25.15,569,25.62,334,25.62,273
neos-5093327-huahum.mps,5,22.82,4678,22.82,3784,24.18,2480,,,23.33,1175,22.66,2601,25.5,755,21.97,2817,22.82,341,21.97,2842,21.97,1603,22.81,1100,23.1,831,22.82,589,24.48,572,23.89,390,23.33,240
neos-5093327-huahum.mps,6,22.82,4477,22.82,3073,25.27,2139,22.82,3138,23.33,1146,22.66,2839,25.21,718,22.66,2834,25.62,332,22.28,2326,21.95,1450,22.68,1028,23.33,641,,,23.93,532,24.6,313,25.62,227
neos-5093327-huahum.mps,7,25.21,4265,23.33,3594,24.23,2348,21.97,3043,25.21,994,23.33,2809,23.71,657,23.33,2302,25.5,341,23.33,2709,21.77,1471,23.33,905,24.09,726,22.36,560,25.3,408,25.21,364,24.45,281
neos-5093327-huahum.mps,8,22.33,4472,22.96,3690,24.19,2589,21.97,3248,22.45,1122,22.82,2805,24.23,658,21.97,2924,25.09,330,23.33,2718,24.28,1486,23.33,1035,24.12,797,24.3,585,23.75,513,24.3,363,25.12,252
neos-5093327-huahum.mps,9,19.64,4424,25.12,3466,24.66,2110,22.82,3130,24.21,1154,21.71,2906,23.16,670,22.82,2819,24,332,22.82,2808,21.97,1477,23.33,894,22.91,687,23.33,496,21.71,497,27.1,354,24.11,273
neos-5093327-huahum.mps,10,22.66,4466,22.82,3180,22.82,2208,22.82,3337,23.33,1091,22.82,3006,24.83,636,21.97,2921,23.58,332,22.82,2916,22.19,1414,21.85,985,22.82,827,22.91,550,24.82,534,23.14,354,21.71,272
rococoB10-011000.mps,1,18.28,4101,17.85,3550,18.33,1906,17.61,3547,18.83,1065,17.7,2759,17.6,613,,,18.3,353,17.82,3269,17.57,1334,17.75,810,17.93,913,17.61,578,18.71,478,17.7,325,18.53,255
rococoB10-011000.mps,2,18.59,4505,21.9,3282,17.63,2438,17.7,2471,18.89,1265,17.75,2869,17.83,655,17.57,2682,17.71,394,18.02,2576,17.19,1510,15.99,1101,17.93,780,17.69,620,17.7,426,17.01,356,17.57,222
rococoB10-011000.mps,3,20.35,4109,17.74,3675,17.96,2419,17.61,3185,18.3,1146,17.7,2758,17.49,664,17.86,2248,18.14,353,,,17.57,1385,17.57,1175,18.26,809,18.24,599,18.26,435,18.75,365,17.53,338
rococoB10-011000.mps,4,17.59,4885,19.12,3507,17.62,2591,18.24,3276,17.52,1084,17.56,3363,18.94,624,17.75,2557,17.57,386,17.75,2555,17,1513,17.75,941,17.75,587,18.84,486,18.26,405,18.44,360,17.93,314
rococoB10-011000.mps,5,18.86,4503,18.3,3199,19.02,2017,,,19.64,1096,17.57,2666,17.61,604,17.57,2561,18.74,333,16.24,3086,18.27,1238,17.57,871,17.58,678,17.77,671,17.57,435,17.7,307,18.52,264
rococoB10-011000.mps,6,17.52,3770,18.44,3535,21.97,2472,18.33,2581,17.33,1236,,,20.94,564,17.86,2651,18.87,332,17.75,2977,16.02,1705,17.7,1026,17.75,668,18.04,568,18.44,550,18.26,365,17.87,283
rococoB10-011000.mps,7,18.3,4574,17.84,3300,21.19,2473,17.7,3577,19.09,965,17.52,2972,17.57,603,17.75,2267,19.68,344,16.09,4003,17.7,1434,17.7,973,18.28,730,17.27,592,16.53,600,17.7,396,20.11,275
rococoB10-011000.mps,8,17.61,4480,18.3,3807,17.58,1864,17.91,2766,17.7,994,17.52,2467,17.86,736,17.7,3191,18.89,323,17.52,2463,17.57,1644,17.7,1009,17.61,1010,17.5,561,18.26,425,18.2,324,18.44,254
rococoB10-011000.mps,9,20.82,4212,18.3,3437,18.27,2227,17.57,3174,18.21,1164,17.21,2871,16.82,708,18.23,3001,18.07,343,17.75,2998,16.87,1338,17.61,1101,17.77,885,17.7,530,18.75,518,17.12,398,18.83,294
rococoB10-011000.mps,10,17.77,4602,18.04,3624,17.91,2157,17.57,3594,18.27,964,17.58,2773,18.27,563,17.91,2677,19.21,273,17.57,2895,17.19,1987,17.84,1116,17.7,682,17.19,507,17.12,563,18.84,304,18.84,242
sorrell3.mps,1,23.01,4099,22.49,3796,22.43,2194,22.61,2670,23.01,1236,22.51,2878,22.54,598,,,22.27,375,23.43,5212,22.58,4613,22.51,1341,22.33,792,23.01,519,23.01,482,22.51,377,22.51,244
sorrell3.mps,2,23.44,4538,25.05,3821,23.81,2180,22.27,2671,22.71,1184,22.53,3278,22.93,581,24.48,3146,22.31,355,23.59,4062,22.93,2194,22.51,1144,22.51,1228,22.51,737,22.51,573,22.93,412,22.27,265
sorrell3.mps,3,22.61,4186,23.8,3868,23.34,2288,24.28,2804,22.94,1123,22.3,4546,23.01,580,22.4,6490,22.87,306,,,23.6,1401,24.25,1290,22.51,890,24.41,752,23.66,715,24.22,386,22.83,231
sorrell3.mps,4,23.04,4473,23.03,4049,23.36,2009,22.51,2975,22.31,1143,23.66,4150,23.01,633,23.01,3775,22.8,332,22.49,5908,22.51,3061,22.51,1391,22.51,759,22.3,631,22.51,628,22.51,534,22.93,252
sorrell3.mps,5,22.51,4294,23.44,5511,23.45,2337,,,22.51,1099,24.15,4322,22.61,604,22.4,5820,22.51,413,22.27,6795,22.79,5513,22.93,968,24.22,894,22.51,856,22.33,480,22.51,404,22.43,274
sorrell3.mps,6,23.44,4007,22.79,3586,23.45,2467,23.01,2790,22.93,1193,,,23.59,687,22.51,3790,23.99,395,22.88,3567,22.51,2453,22.51,1359,23.01,821,22.51,793,23.49,724,22.47,385,23.01,257
sorrell3.mps,7,23.29,5061,22.67,3814,24.61,2752,22.4,2756,22.61,1112,24.48,2702,22.53,636,22.33,5621,23.01,331,22.93,4642,22.45,2287,23.49,3863,24.42,865,22.53,815,22.51,683,23.01,489,22.51,239
sorrell3.mps,8,22.42,5116,23.59,4576,22.44,2309,22.51,4351,22.51,1099,24.12,4361,26.49,630,22.49,8972,23.05,352,22.49,7429,22.51,3058,23.01,1172,23.81,984,22.27,650,22.51,751,22.93,401,22.83,220
sorrell3.mps,9,22.61,4803,23.44,3768,22.67,2117,22.5,5550,22.61,1039,22.51,3465,22.93,926,22.48,6937,24.22,415,22.51,4843,22.51,3183,23.6,1432,23.59,1010,22.4,757,22.51,588,22.51,486,22.51,241
sorrell3.mps,10,22.44,4809,23.34,3656,22.54,2433,22.43,4877,23.01,1081,22.51,5247,22.27,664,23.01,3218,23.91,379,23.34,5131,23.29,2231,22.87,1155,22.4,688,23.77,958,22.51,732,22.4,344,22.53,230
supportcase26.mps,1,0.01,4801,0.01,3786,6.47,2810,2.54,4291,0.69,1300,1.32,3661,6.1,694,,,2.23,518,1.27,4294,0.01,1771,0.01,989,0.01,687,0,548,0.01,489,1.56,551,6.2,293
supportcase26.mps,2,0.01,5407,0.01,4737,7.37,2747,4.28,3887,8.06,1255,0.01,2465,0.01,697,0.01,3209,0.01,335,0.01,2261,0.01,1605,0.01,1078,0.01,803,0.01,580,2.82,620,0.01,517,4.13,324
supportcase26.mps,3,0.01,5503,7.01,3923,7.08,2720,5.05,3285,8.4,1396,0.02,3587,0.01,707,0.01,3197,0.01,410,,,0.01,1414,0.66,1486,0.01,823,0.88,682,0.01,545,2.4,407,6.19,306
supportcase26.mps,4,0.01,4812,5.46,3921,5.02,2792,0.01,3600,6.66,1306,0.01,3376,3.57,849,0.01,3585,0.01,309,0.01,3515,,,0.01,1272,0.01,1044,0.01,562,2.75,612,0.01,407,0.01,285
supportcase26.mps,5,0.01,4627,7.52,4312,0.01,2262,,,4.63,1287,0,2325,4.5,767,0.01,3433,2.85,385,1.36,3813,,,0.01,1025,0.01,1092,1.32,754,0.51,549,0.01,439,5.87,335
supportcase26.mps,6,5.44,5575,0.11,4934,13.72,2972,4.29,3784,0.01,1247,,,0.88,707,0.01,2695,2.21,397,0.99,3403,0.01,1678,0.01,1282,0.01,890,0.01,659,0.01,530,1.52,490,4.78,276
supportcase26.mps,7,0.01,5085,5.48,4214,10.32,2416,4.54,4302,6.3,1386,0.01,2955,0.6,888,0.01,2687,1.63,414,0.01,3893,0.8,2263,0.01,1533,0,525,0.01,754,0.01,492,0.81,406,0.4,305
supportcase26.mps,8,0.01,5173,0.01,4354,0.01,2001,0.01,2958,3.63,1285,0.01,3075,7.07,696,0.01,3434,4.69,385,0.01,2593,0.01,1723,0.01,1132,0.01,720,5.06,628,0.01,717,5.1,447,0.01,254
supportcase26.mps,9,2.92,4921,0.01,4869,5.42,2699,0.01,3396,4.81,1507,0.01,3578,5.5,685,0.01,3121,4.34,396,0.01,2911,0.9,1662,0.01,1125,2.58,1058,0.01,661,1.49,644,,,4.44,338
supportcase26.mps,10,5.36,5563,0.01,4182,3.52,2823,0.01,3357,4.56,1426,0.01,3884,3.14,757,0.01,3502,6.19,384,,,3.31,1505,0.01,1127,0.01,870,4.78,639,5.05,609,4.77,407,0.01,288
supportcase40.mps,1,1.92,5182,1.86,3234,2.3,2795,1.85,4025,2.53,1253,1.56,2885,1.85,606,,,2.11,366,1.27,3604,1.27,1917,1.26,1459,1.73,993,1.76,664,2.24,593,1.69,439,2.07,297
supportcase40.mps,2,2.02,4921,2.99,4415,1.89,2472,1.76,3930,2.26,1083,1.54,3605,1.89,566,1.56,2791,1.85,458,1.27,4199,1.23,1978,1.79,939,1.79,783,1.75,622,2.09,438,1.75,399,2.42,284
supportcase40.mps,3,2.57,4734,3.08,3646,2.14,2313,1.89,3297,2.24,1315,1.54,3191,2.57,536,1.27,4026,2.22,385,,,1.75,1774,,,1.79,752,1.76,674,1.85,408,2.16,347,1.46,336
supportcase40.mps,4,3.3,4528,2.04,3725,2.52,2435,1.71,4102,2.26,1100,1.9,3394,1.97,699,1.89,2809,2.29,355,1.28,3721,1.79,1332,1.3,1122,1.49,1078,1.27,710,1.89,407,1.79,336,2.36,316
supportcase40.mps,5,1.92,4725,3.17,3328,2.92,2467,,,2.04,1151,1.24,3702,1.77,739,1.79,2570,1.76,314,1.27,4236,,,1.23,1292,1.56,922,1.09,780,1.76,562,1.75,440,1.85,264
supportcase40.mps,6,2.32,4985,1.98,3737,4.69,2245,1.34,3600,1.33,1161,,,2.33,671,1.23,3647,2.08,365,1.51,4271,1.27,1684,1.24,1411,1.79,630,1.89,570,1.54,472,1.85,336,2.28,274
supportcase40.mps,7,1.67,4653,2.48,3772,4.56,2513,2.04,3597,2.53,1203,2.19,3606,2.48,638,1.79,2377,2.5,334,1.26,3750,1.79,1587,1.73,1159,1.73,1080,1.77,704,2.05,509,1.76,388,2.56,265
supportcase40.mps,8,2.38,4492,2.4,4524,1.78,2490,1.79,2795,1.27,1170,1.64,3384,2.43,638,1.26,3753,2.29,387,1.23,3565,1.99,1793,1.78,1255,1.79,632,1.76,714,1.17,531,2.38,346,2.29,305
supportcase40.mps,9,1.9,4251,2.6,3536,2.45,2380,1.99,2795,2.46,1058,1.26,3103,2.81,597,1.85,2371,1.86,415,1.23,3153,1.28,2021,1.78,1093,1.23,921,1.85,580,2.08,530,1.75,502,1.85,244
supportcase40.mps,10,1.33,5450,2.4,4129,2.05,2855,2.03,3389,1.86,1182,1.27,3499,1.76,740,1.75,3617,2.31,387,,,1.76,1439,1.23,1342,1.76,867,1.76,571,1.76,573,1.75,429,2.18,244
supportcase6.mps,1,0,2388,0,1386,0.09,1984,0.01,3348,10.79,1161,0,1484,0,320,,,0,231,0,1256,0,562,0,394,0,362,0,323,0,242,0,251,0,137
supportcase6.mps,2,0,1955,0,1531,0,1818,0,1840,0,487,0,1350,0,312,0,1217,0.01,411,0,1202,0,590,0,670,0,321,0,541,0,440,0,250,0,147
supportcase6.mps,3,0,2396,0,1741,0,1100,0,2547,0,562,0,1678,0.01,698,0,1685,0,167,,,0,590,0,408,0,340,0,208,0,229,0,230,0,105
supportcase6.mps,4,0,2967,10.53,4160,13.09,2060,0.16,2861,0,494,0,2080,10.58,624,0,1090,0,210,0,1291,0,989,0,447,0,320,0,218,0,229,0,199,0,170
supportcase6.mps,5,0,2087,0,1951,13.11,2101,,,0,575,0,1600,0.01,810,0,1096,0.01,483,0,1741,,,0,428,0,321,0,280,0,325,0,168,0,160
supportcase6.mps,6,10.69,5129,0,1934,0,1199,0.01,3468,0,609,,,0,287,0,1347,0,188,0,1354,0,864,0,386,0,363,0,491,0,176,0,124,0,115
supportcase6.mps,7,0.01,5153,0,2209,13.14,2340,0,1431,10.88,1108,0,1364,0,354,0,1098,0,263,0,1129,0,578,0.01,1094,0,408,0,207,0,249,0,210,0,170
supportcase6.mps,8,0,2033,0,2032,0,1359,0,1274,0,536,0.01,3279,10.53,728,0.01,2430,0,166,0,1241,0,809,0,435,0,353,0,219,0,230,0.01,375,10.51,295
supportcase6.mps,9,0,2314,0.01,3186,0,1216,0,2310,0,587,0,1206,0,418,0,1247,9.43,441,0,1171,0,692,0,524,0,384,0,197,0,188,0,283,0,137
supportcase6.mps,10,0,2137,0,2293,0,2215,0,1917,0,913,0,1644,0,384,0,1352,0,220,,,0,787,0,466,0,499,0,218,0,240,0,178,0,137
var-smallemery-m6j6.mps,1,2.3,5126,2.36,3949,2.85,2239,2.77,4172,2.39,1299,2.38,3221,2.82,637,,,2.9,341,1.86,3465,2.36,1378,2.35,1215,2.35,887,2.21,681,2.35,457,2.51,404,2.32,284
var-smallemery-m6j6.mps,2,2.87,4597,2.57,3479,2.5,2020,2.36,2738,2.98,1124,2.35,3035,2.74,607,,,,,2.37,3037,2.32,1426,2.08,1275,2.35,835,2.33,629,2.36,506,2.49,486,2.33,278
var-smallemery-m6j6.mps,3,2.35,4695,2.56,4187,3.09,2325,2.52,3353,3.07,1080,2.35,2814,2.36,638,1.93,4151,2.34,371,,,0,937,2.53,966,2.35,947,1.89,660,2.35,548,2.35,354,2.49,268
var-smallemery-m6j6.mps,4,2.89,4782,2.39,3798,3.28,2379,2.34,3658,2.52,1253,2.36,3128,2.42,619,2.34,3658,2.36,351,2.18,2817,2.1,1326,2.35,960,2.32,854,2.39,566,2.34,485,2.34,363,2.74,237
var-smallemery-m6j6.mps,5,2.86,4668,2.38,4277,3.29,2337,,,2.72,1302,2.17,2919,2.36,617,2.34,3431,2.83,341,2.05,3361,,,2.33,1095,2.49,908,2.3,686,2.35,516,2.33,344,2.99,250
var-smallemery-m6j6.mps,6,2.53,4794,3.04,3600,3.07,2391,2.42,3253,2.84,1160,,,2.4,654,2.16,3251,2.34,414,1.77,2714,2.31,1742,2.34,1242,2.35,773,2.33,670,2.34,465,2.35,388,2.52,268
var-smallemery-m6j6.mps,7,2.3,4338,2.45,3859,3.15,2173,2.32,3133,3.09,1151,2.35,3040,2.3,775,2.35,2405,2.34,361,2.09,3935,2.34,1620,,,1.94,849,2.38,598,2.35,433,2.33,386,2.3,355
var-smallemery-m6j6.mps,8,2.33,4511,2.94,4306,2.39,2099,2.38,3040,2.74,1095,2.34,3340,2.99,613,2.23,3159,2.45,366,2.15,2493,,,2.35,1040,2.33,887,2.34,619,2.32,558,2.33,352,2.48,259
var-smallemery-m6j6.mps,9,2.46,4664,2.99,4161,2.43,2542,2.74,3658,2.49,1269,2.35,3039,2.72,683,1.96,2706,2.41,383,2.13,3381,2.37,1417,2.39,1041,2.34,890,2.35,670,2.35,413,,,2.44,259
var-smallemery-m6j6.mps,10,2.42,4767,2.38,3910,2.42,2290,2.35,2837,2.43,1039,2.36,2706,2.34,638,2.01,3030,2.31,395,,,2.31,1517,2.32,1033,2.16,1098,2.08,600,2.35,477,2.35,383,2.31,268
