instance,1proc_obj,1proc_time_s,2proc_obj,2proc_time_s,4proc_obj,4proc_time_s,8proc_obj,8proc_time_s,16proc_obj,16proc_time_s,24proc_obj,24proc_time_s
b1c1s1,17.99,2995,17.76,2409,14.27,2099,17.96,1916,15.52,1837,16.14,1858
cost266-UUE,6.89,3274,6.89,2512,5.86,2048,6.93,1906,5.92,1898,6.45,1518
csched007,14.02,3382,12.49,2588,11.04,1982,12.17,1719,11.82,1472,11.14,1525
cvs16r128-89,20.78,3237,17.71,2613,15.02,1898,16.22,1678,15.56,2128,15.85,1895
eilA101-2,26.11,2945,21.53,2271,16.20,3498,23.20,3061,15.94,3075,15.41,-1779754102
momentum1,25.07,3144,25.04,2115,16.71,1765,21.10,1477,16.71,1453,11.84,1669
mushroom-best,29.90,3229,22.69,2610,15.85,2398,28.41,2016,17.04,1977,17.39,1898
neos-1456979,10.20,3187,8.95,2281,6.00,1804,9.89,1528,6.52,1437,5.90,1560
neos-3024952-loue,10.09,2973,6.84,2534,2.14,1925,12.18,2016,4.00,1402,4.68,1411
neos-4387871-tavua,28.18,3341,22.77,2627,20.88,1782,29.73,603,24.96,654,25.26,519
neos-4954672-berkel,21.07,3517,14.80,2647,13.58,2206,13.13,2254,12.85,2278,12.79,1565
neos-5093327-huahum,26.85,3162,25.58,2306,24.68,1733,24.03,1610,24.01,1363,24.63,1275
rococoB10-011000,29.91,2911,29.31,2237,23.09,1783,27.05,1392,25.03,1531,20.52,1760
sorrell3,24.08,3320,24.10,2400,23.86,2236,23.56,3325,23.08,3941,23.68,-1779756767
supportcase26,5.58,3663,3.54,2661,0.01,1998,3.97,2016,3.88,1892,3.33,1649
supportcase40,4.99,3501,4.91,2591,3.57,1965,3.22,1863,4.33,1974,4.30,1427
supportcase6,0.01,1341,0.01,873,0.00,949,0.01,417,0.01,352,0.01,371
var-smallemery-m6j6,3.47,3393,3.83,2342,3.18,1907,3.34,2023,3.70,1553,2.53,1443
mean,16.96,3139,14.93,2367,12.00,1998,15.34,1823,12.83,1789,12.32,-197749307
