instance,seed,2proc_obj,2proc_time_s,4proc_obj,4proc_time_s,8proc_obj,8proc_time_s,16proc_obj,16proc_time_s,24proc_obj,24proc_time_s
rococoB10-011000,10,30.53,2239,32.01,1096,30.53,624,35.16,353,36.18,274
sorrell3,1,24.10,2304,24.10,1120,24.10,682,27.39,366,24.10,252
sorrell3,2,24.42,2304,24.42,1165,23.98,637,29.64,362,23.96,247
sorrell3,3,24.08,2300,26.32,1123,26.26,641,35.72,370,29.86,252
sorrell3,4,24.00,2301,24.00,1127,24.01,644,27.39,366,24.10,252
sorrell3,5,24.03,2299,24.03,1127,30.05,640,24.03,366,24.03,251
sorrell3,6,23.94,2292,24.06,1136,23.86,641,23.86,366,32.53,252
sorrell3,7,24.23,2331,24.23,1128,24.23,641,26.36,367,38.72,252
sorrell3,8,24.61,2297,24.61,1122,30.05,646,24.73,365,29.97,255
sorrell3,9,24.37,2301,25.01,1124,27.32,641,30.05,369,26.39,291
sorrell3,10,23.78,2294,23.87,1164,23.78,641,27.34,366,34.05,252
supportcase26,1,4.56,2730,0.01,1312,7.76,714,21.03,396,14.64,295
supportcase26,2,8.76,2732,10.72,1316,5.81,721,7.78,407,5.08,315
supportcase26,3,2.81,2738,5.84,1326,10.91,729,15.75,395,12.67,303
supportcase26,4,2.95,2720,0.01,1314,0.28,724,16.30,395,9.89,313
supportcase26,5,0.01,2731,2.98,1311,21.59,295,13.27,412,8.42,314
supportcase26,6,0.01,2734,4.39,1314,8.36,731,6.13,407,12.49,294
supportcase26,7,0.01,2733,0.01,1310,6.19,720,15.09,396,16.98,304
supportcase26,8,0.92,2731,4.80,1301,15.47,717,10.46,409,18.42,296
supportcase26,9,1.64,2735,11.02,1314,10.44,720,17.14,395,13.91,295
supportcase26,10,2.29,2737,9.39,1326,1.10,718,16.21,388,21.32,303
supportcase40,1,5.77,2477,5.18,1166,5.18,657,7.75,376,5.85,284
supportcase40,2,4.50,2478,5.59,1171,4.07,653,4.01,376,4.11,284
supportcase40,3,4.61,2478,6.17,1172,6.17,648,7.68,376,6.17,285
supportcase40,4,6.24,2479,6.24,1173,6.24,648,7.44,376,6.57,281
supportcase40,5,4.99,2470,4.99,1174,6.21,643,6.20,377,4.99,284
supportcase40,6,3.51,2482,3.51,1168,3.62,651,3.62,376,6.11,285
supportcase40,7,4.63,2479,4.63,1172,4.63,655,6.98,376,8.71,285
supportcase40,8,5.30,2480,5.30,1168,7.20,644,5.80,377,8.73,285
supportcase40,9,4.73,2482,5.39,1175,7.56,643,7.56,372,5.19,284
supportcase40,10,5.04,2476,6.84,1175,4.85,653,8.61,376,9.13,277
supportcase6,1,0.01,1831,0.01,589,0.01,396,56.05,231,0.11,147
supportcase6,2,0.00,1829,13.11,589,0.01,394,0.01,230,0.02,147
supportcase6,3,0.01,1831,0.02,586,13.16,396,59.99,231,16.64,148
supportcase6,4,0.01,1828,0.01,587,0.01,395,56.05,232,0.01,147
supportcase6,5,0.00,1830,0.00,585,0.12,399,0.12,231,0.01,148
supportcase6,6,0.00,1833,0.00,587,0.01,395,0.01,230,13.20,148
supportcase6,7,0.01,1831,0.01,587,0.01,395,0.03,231,59.94,151
supportcase6,8,0.01,1829,0.00,588,56.05,394,0.11,231,73.11,149
supportcase6,9,0.01,1834,0.01,585,56.05,397,59.88,232,55.98,149
supportcase6,10,0.00,1835,0.02,587,0.00,395,59.99,232,59.99,149
var-smallemery-m6j6,1,3.79,2308,3.30,1160,3.30,648,8.70,372,4.32,278
var-smallemery-m6j6,2,3.95,2300,4.28,1162,3.83,639,3.83,378,3.94,278
var-smallemery-m6j6,3,3.84,2297,5.66,1166,5.96,643,10.31,377,5.38,277
var-smallemery-m6j6,4,3.81,2301,3.81,1155,3.81,648,5.65,377,3.88,278
var-smallemery-m6j6,5,3.99,2304,3.84,1162,6.85,641,4.91,376,3.99,279
var-smallemery-m6j6,6,3.47,2302,3.65,1155,3.65,648,3.47,387,6.06,272
var-smallemery-m6j6,7,3.50,2302,3.50,1160,3.60,647,6.80,376,10.55,279
var-smallemery-m6j6,8,3.07,2301,3.05,1153,6.08,648,3.73,377,7.31,281
var-smallemery-m6j6,9,2.51,2303,4.24,1162,6.94,648,6.96,379,6.94,280
var-smallemery-m6j6,10,4.08,2306,6.07,1164,3.85,647,6.80,376,6.80,279
