instance,k,n_params,median_obj,median_time_s,n_seeds
b1c1s1,2,5,19.39,100,0
b1c1s1,2,5,18.52,100,1
b1c1s1,2,5,17.70,100,2
b1c1s1,2,5,16.41,100,3
b1c1s1,2,5,16.34,100,4
b1c1s1,2,5,16.73,100,5
b1c1s1,2,5,18.29,100,6
b1c1s1,2,5,19.40,100,7
b1c1s1,2,5,16.86,100,8
b1c1s1,2,5,18.16,100,9
b1c1s1,5,5,18.63,250,0
b1c1s1,5,5,16.38,250,1
b1c1s1,5,5,17.70,250,2
b1c1s1,5,5,17.02,250,3
b1c1s1,5,5,16.33,250,4
b1c1s1,5,5,16.46,250,5
b1c1s1,5,5,16.71,250,6
b1c1s1,5,5,17.49,250,7
b1c1s1,5,5,16.51,250,8
b1c1s1,5,5,17.52,250,9
b1c1s1,10,5,17.36,500,0
b1c1s1,10,5,16.32,501,1
b1c1s1,10,5,16.32,501,2
b1c1s1,10,5,16.97,501,3
b1c1s1,10,5,16.33,501,4
b1c1s1,10,5,16.46,501,5
b1c1s1,10,5,16.48,501,6
b1c1s1,10,5,16.90,501,7
b1c1s1,10,5,16.51,501,8
b1c1s1,10,5,16.32,501,9
b1c1s1,15,5,16.90,751,0
b1c1s1,15,5,16.32,751,1
b1c1s1,15,5,16.32,751,2
b1c1s1,15,5,17.35,751,3
b1c1s1,15,5,16.32,751,4
b1c1s1,15,5,17.09,751,5
b1c1s1,15,5,16.48,751,6
b1c1s1,15,5,16.51,751,7
b1c1s1,15,5,16.51,751,8
b1c1s1,15,5,17.52,752,9
b1c1s1,20,5,16.32,1002,0
b1c1s1,20,5,16.32,1002,1
b1c1s1,20,5,16.32,1002,2
b1c1s1,20,5,17.09,1002,3
b1c1s1,20,5,16.33,1002,4
b1c1s1,20,5,17.09,1002,5
b1c1s1,20,5,16.32,1002,6
b1c1s1,20,5,16.48,1002,7
b1c1s1,20,5,16.32,1002,8
b1c1s1,20,5,16.47,1002,9
