instance,seed,1proc_obj,1proc_time_s,2proc_obj,2proc_time_s,4proc_obj,4proc_time_s,8proc_obj,8proc_time_s,16proc_obj,16proc_time_s,24proc_obj,24proc_time_s
b1c1s1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23.5113,942
b1c1s1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23.5113,942
b1c1s1,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23.5113,942
b1c1s1,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23.5113,942
b1c1s1,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23.5113,942
b1c1s1,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23.9505,942
b1c1s1,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23.5113,942
b1c1s1,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23.5113,941
b1c1s1,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23.9505,941
b1c1s1,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23.5113,942
cost266-UUE,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.5635,875
cost266-UUE,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.5635,873
cost266-UUE,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.5635,875
cost266-UUE,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.5806,875
cost266-UUE,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.5806,875
cost266-UUE,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.5806,873
cost266-UUE,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.5806,873
cost266-UUE,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.5635,874
cost266-UUE,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.5806,873
cost266-UUE,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.5806,875
csched007,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,29.2695,806
csched007,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,29.2695,807
csched007,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27.6066,805
csched007,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,28.4616,807
csched007,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,28.6629,806
csched007,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,29.2695,807
csched007,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,29.2695,805
csched007,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,29.2695,806
csched007,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,29.4308,806
csched007,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27.6066,806
cvs16r128-89,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23.5121,960
cvs16r128-89,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23.5780,961
cvs16r128-89,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23.5121,960
cvs16r128-89,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,33.0441,961
cvs16r128-89,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23.5121,960
cvs16r128-89,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23.5780,960
cvs16r128-89,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23.5121,961
cvs16r128-89,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23.5780,960
cvs16r128-89,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23.5780,960
cvs16r128-89,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23.5121,960
eilA101-2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26.7062,1154
eilA101-2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26.7062,1154
eilA101-2,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26.7062,1154
eilA101-2,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26.7062,1153
eilA101-2,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26.7062,1154
eilA101-2,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26.7062,1155
eilA101-2,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26.7062,1154
eilA101-2,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26.7062,1153
eilA101-2,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26.7062,1154
eilA101-2,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26.7062,1154
momentum1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25.0342,746
momentum1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,28.5472,746
momentum1,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31.8236,746
momentum1,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24.9945,744
momentum1,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25.0189,746
momentum1,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31.8068,746
momentum1,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25.0189,744
momentum1,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21.0568,744
momentum1,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,28.5820,745
momentum1,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16.7147,746
mushroom-best,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,50.5256,1036
mushroom-best,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,50.5256,1037
mushroom-best,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,50.5256,1037
mushroom-best,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,50.5256,1037
mushroom-best,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,50.5256,1036
mushroom-best,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,50.5256,1036
mushroom-best,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,50.5256,1037
