instance,seed,24proc-1pils_objective,24proc-1pils_tuning_time
neos-4387871-tavua.mps,4,19.47,454
neos-4387871-tavua.mps,5,20.12,455
neos-4387871-tavua.mps,6,19.59,455
neos-4387871-tavua.mps,7,0,541
neos-4387871-tavua.mps,8,20.37,454
neos-4387871-tavua.mps,9,17.8,455
neos-4387871-tavua.mps,10,20.84,455
neos-4954672-berkel.mps,1,11.97,1033
neos-4954672-berkel.mps,3,12.45,1032
neos-4954672-berkel.mps,4,12.74,1034
neos-4954672-berkel.mps,5,11.82,1033
neos-4954672-berkel.mps,6,11.78,1033
neos-4954672-berkel.mps,7,11.25,1033
neos-4954672-berkel.mps,8,11.67,1032
neos-4954672-berkel.mps,9,12.52,1033
neos-4954672-berkel.mps,10,12.77,1034
neos-5093327-huahum.mps,1,24.05,818
neos-5093327-huahum.mps,3,22.63,817
neos-5093327-huahum.mps,4,23.66,818
neos-5093327-huahum.mps,5,22.81,818
neos-5093327-huahum.mps,6,24.04,818
neos-5093327-huahum.mps,7,24.05,818
neos-5093327-huahum.mps,8,24.05,817
neos-5093327-huahum.mps,9,23.71,818
neos-5093327-huahum.mps,10,25.09,818
rococoB10-011000.mps,1,21.37,751
rococoB10-011000.mps,3,20.13,750
rococoB10-011000.mps,4,16.51,750
rococoB10-011000.mps,5,17.73,750
rococoB10-011000.mps,6,16.51,750
rococoB10-011000.mps,7,16.51,750
rococoB10-011000.mps,8,17.66,750
rococoB10-011000.mps,9,18.17,750
rococoB10-011000.mps,10,18.62,750
sorrell3.mps,1,23.38,987
sorrell3.mps,3,23.38,964
sorrell3.mps,4,23.38,1006
sorrell3.mps,5,23.38,1053
sorrell3.mps,6,23.75,997
sorrell3.mps,7,23.71,1001
sorrell3.mps,8,23.38,995
sorrell3.mps,9,23.38,959
sorrell3.mps,10,23.38,979
supportcase26.mps,1,0.01,843
supportcase26.mps,3,4.18,844
supportcase26.mps,4,5.49,852
supportcase26.mps,5,1.6,845
supportcase26.mps,6,5.01,844
supportcase26.mps,7,0.61,844
supportcase26.mps,8,1.64,844
supportcase26.mps,9,5.1,843
supportcase26.mps,10,3.52,844
supportcase40.mps,1,4.7,888
supportcase40.mps,3,2.66,888
supportcase40.mps,4,4.29,889
supportcase40.mps,5,3.2,888
supportcase40.mps,6,3.9,888
supportcase40.mps,7,3.22,888
supportcase40.mps,8,3,888
supportcase40.mps,9,3.71,888
supportcase40.mps,10,3.2,888
supportcase6.mps,1,0,374
supportcase6.mps,3,0,374
supportcase6.mps,4,0,373
supportcase6.mps,5,0,373
supportcase6.mps,6,0,374
supportcase6.mps,7,0,372
supportcase6.mps,8,0,373
supportcase6.mps,9,0,372
supportcase6.mps,10,0,373
var-smallemery-m6j6.mps,1,-1,908
var-smallemery-m6j6.mps,3,-1,907
var-smallemery-m6j6.mps,4,-1,908
var-smallemery-m6j6.mps,5,-1,908
var-smallemery-m6j6.mps,6,-1,908
var-smallemery-m6j6.mps,7,-1,908
var-smallemery-m6j6.mps,8,-1,908
var-smallemery-m6j6.mps,9,-1,908
var-smallemery-m6j6.mps,10,-1,908
