instance,wall_time
b1c1s1,3826
cost266-UUE,3805
csched007,3510
cvs16r128-89,3522
eilA101-2,4240
momentum1,3608
mushroom-best,3826
neos-1456979,3526
neos-3024952-loue,3896
neos-4387871-tavua,2628
neos-4954672-berkel,4115
neos-5093327-huahum,3550
rococoB10-011000,3507
sorrell3,3814
supportcase26,4214
supportcase40,3725
supportcase6,1951
var-smallemery-m6j6,3910
