instance,k,n_params,median_obj,median_time_s,n_seeds
eilA101-2,10,5,16.02,580,5
eilA101-2,15,5,16.02,884,5
eilA101-2,20,5,16.02,1188,5
eilA101-2,2,10,26.71,214,5
eilA101-2,5,10,26.71,538,5
eilA101-2,10,10,26.71,1111,5
eilA101-2,15,10,26.47,1665,5
eilA101-2,20,10,16.02,2252,5
eilA101-2,2,20,20.38,434,5
eilA101-2,5,20,20.38,1062,5
eilA101-2,10,20,20.24,2179,5
eilA101-2,15,20,14.75,3239,5
eilA101-2,20,20,15.83,4329,5
momentum1,2,5,16.63,100,5
momentum1,5,5,11.77,251,5
momentum1,10,5,11.72,503,5
momentum1,15,5,11.73,754,5
momentum1,20,5,11.75,1006,5
momentum1,2,10,11.71,201,5
momentum1,5,10,11.72,503,5
momentum1,10,10,11.71,1006,5
momentum1,15,10,11.41,1509,5
momentum1,20,10,11.42,2012,5
momentum1,2,20,16.60,402,5
momentum1,5,20,11.71,1006,5
momentum1,10,20,11.73,2012,5
momentum1,15,20,11.70,3018,5
momentum1,20,20,11.73,4025,5
mushroom-best,2,5,42.74,100,5
mushroom-best,5,5,41.07,251,5
mushroom-best,10,5,40.55,503,5
mushroom-best,15,5,40.55,755,5
mushroom-best,20,5,40.55,1006,5
mushroom-best,2,10,42.23,201,5
mushroom-best,5,10,31.31,503,5
mushroom-best,10,10,31.32,1007,5
mushroom-best,15,10,31.31,1510,5
mushroom-best,20,10,31.32,2014,5
mushroom-best,2,20,40.68,403,5
mushroom-best,5,20,25.61,1007,5
mushroom-best,10,20,22.70,2014,5
mushroom-best,15,20,22.80,3022,5
mushroom-best,20,20,22.75,4029,5
neos-1456979,2,5,11.23,100,5
neos-1456979,5,5,8.74,250,5
neos-1456979,10,5,8.70,501,5
neos-1456979,15,5,8.70,752,5
neos-1456979,20,5,7.69,1003,5
neos-1456979,2,10,8.75,200,5
neos-1456979,5,10,5.95,501,5
neos-1456979,10,10,7.18,1003,5
neos-1456979,15,10,6.59,1504,5
neos-1456979,20,10,5.85,2006,5
neos-1456979,2,20,5.06,401,5
neos-1456979,5,20,5.06,1003,5
neos-1456979,10,20,5.06,2006,5
neos-1456979,15,20,4.31,3008,5
neos-1456979,20,20,3.39,4010,4
neos-3024952-loue,2,5,6.59,100,5
neos-3024952-loue,5,5,5.03,250,5
neos-3024952-loue,10,5,5.10,501,5
neos-3024952-loue,15,5,5.61,752,5
neos-3024952-loue,20,5,5.10,1002,5
neos-3024952-loue,2,10,5.78,200,5
neos-3024952-loue,5,10,5.30,501,5
neos-3024952-loue,10,10,5.72,1002,5
neos-3024952-loue,15,10,4.70,1503,5
neos-3024952-loue,20,10,4.65,2004,5
neos-3024952-loue,2,20,5.94,401,5
neos-3024952-loue,5,20,2.08,1002,5
neos-3024952-loue,10,20,2.56,2004,5
neos-3024952-loue,15,20,1.83,3008,5
neos-3024952-loue,20,20,2.55,4011,4
neos-4387871-tavua,2,5,21.24,100,5
neos-4387871-tavua,5,5,20.67,250,5
neos-4387871-tavua,10,5,20.50,501,5
neos-4387871-tavua,15,5,20.78,751,5
neos-4387871-tavua,20,5,20.31,1002,5
neos-4387871-tavua,2,10,20.94,200,5
neos-4387871-tavua,5,10,20.95,501,5
neos-4387871-tavua,10,10,20.74,1002,5
neos-4387871-tavua,15,10,20.43,1503,5
neos-4387871-tavua,20,10,20.10,2004,5
neos-4387871-tavua,2,20,20.15,401,5
neos-4387871-tavua,5,20,19.99,1002,5
neos-4387871-tavua,10,20,19.68,2005,5
neos-4387871-tavua,15,20,19.87,3007,5
neos-4387871-tavua,20,20,19.43,4009,5
neos-4954672-berkel,2,5,13.18,100,5
neos-4954672-berkel,5,5,13.12,250,5
neos-4954672-berkel,10,5,13.03,501,5
neos-4954672-berkel,15,5,12.90,751,5
neos-4954672-berkel,20,5,12.93,1002,5
neos-4954672-berkel,2,10,12.99,200,5
neos-4954672-berkel,5,10,12.99,501,5
neos-4954672-berkel,10,10,12.95,1002,5
neos-4954672-berkel,15,10,12.84,1503,5
neos-4954672-berkel,20,10,12.84,2004,5
neos-4954672-berkel,2,20,12.97,400,5
neos-4954672-berkel,5,20,12.99,1002,5
neos-4954672-berkel,10,20,12.78,2004,5
neos-4954672-berkel,15,20,12.44,3006,5
neos-4954672-berkel,20,20,12.32,4008,5
neos-5093327-huahum,2,5,28.09,101,5
neos-5093327-huahum,5,5,26.40,254,5
neos-5093327-huahum,10,5,26.40,509,5
neos-5093327-huahum,15,5,26.40,763,5
neos-5093327-huahum,20,5,26.40,1018,5
neos-5093327-huahum,2,10,28.05,203,5
neos-5093327-huahum,5,10,28.03,509,5
neos-5093327-huahum,10,10,28.03,1018,5
neos-5093327-huahum,15,10,28.03,1526,5
neos-5093327-huahum,20,10,28.03,2034,5
neos-5093327-huahum,2,20,28.03,407,5
neos-5093327-huahum,5,20,28.03,1018,5
neos-5093327-huahum,10,20,28.02,2036,5
neos-5093327-huahum,15,20,27.50,3055,5
neos-5093327-huahum,20,20,27.92,4073,5
rococoB10-011000,2,5,20.97,100,5
rococoB10-011000,5,5,20.29,250,5
rococoB10-011000,10,5,20.19,501,5
rococoB10-011000,15,5,20.19,751,5
rococoB10-011000,20,5,20.19,1002,5
rococoB10-011000,2,10,20.44,200,5
rococoB10-011000,5,10,20.58,501,5
rococoB10-011000,10,10,19.73,1002,5
rococoB10-011000,15,10,17.78,1503,5
rococoB10-011000,20,10,18.12,2004,5
rococoB10-011000,2,20,20.64,401,5
rococoB10-011000,5,20,19.64,1002,5
rococoB10-011000,10,20,19.04,2005,5
rococoB10-011000,15,20,19.52,3006,5
rococoB10-011000,20,20,18.58,4009,5
sorrell3,2,5,32.62,102,5
sorrell3,5,5,32.44,256,5
sorrell3,10,5,32.42,513,5
sorrell3,15,5,32.42,769,5
sorrell3,20,5,32.42,1027,5
sorrell3,2,10,32.65,205,5
sorrell3,5,10,32.42,514,5
sorrell3,10,10,32.41,1027,5
sorrell3,15,10,32.41,1538,5
sorrell3,20,10,32.41,2050,5
sorrell3,2,20,32.42,411,5
sorrell3,5,20,32.41,1026,5
sorrell3,10,20,32.41,2052,5
sorrell3,15,20,32.41,3080,5
sorrell3,20,20,32.41,4107,5
supportcase26,2,5,10.02,100,5
supportcase26,5,5,8.51,250,5
supportcase26,10,5,7.91,500,5
supportcase26,15,5,7.77,751,5
supportcase26,20,5,8.13,1001,5
supportcase26,2,10,11.54,200,5
supportcase26,5,10,8.79,501,5
supportcase26,10,10,7.30,1001,5
supportcase26,15,10,6.76,1502,5
supportcase26,20,10,3.61,2004,5
supportcase26,2,20,8.25,401,5
supportcase26,5,20,8.24,1002,5
supportcase26,10,20,7.22,2004,5
supportcase26,15,20,4.20,3006,5
supportcase26,20,20,5.66,4008,5
supportcase40,2,5,3.14,100,5
supportcase40,5,5,3.09,251,5
supportcase40,10,5,2.93,503,5
supportcase40,15,5,2.93,755,5
supportcase40,20,5,2.93,1007,5
supportcase40,2,10,4.72,201,5
supportcase40,5,10,3.04,503,5
supportcase40,10,10,1.94,1007,5
supportcase40,15,10,2.11,1510,5
supportcase40,20,10,2.31,2014,5
supportcase40,2,20,4.35,403,5
supportcase40,5,20,2.39,1007,5
supportcase40,10,20,2.69,2014,5
supportcase40,15,20,2.50,3021,5
supportcase40,20,20,2.18,4027,5
supportcase6,2,5,13.17,102,5
supportcase6,5,5,13.17,255,5
supportcase6,10,5,13.17,511,5
supportcase6,15,5,13.17,768,5
supportcase6,20,5,13.17,1023,5
supportcase6,2,10,13.17,205,5
supportcase6,5,10,13.17,512,5
supportcase6,10,10,13.13,1024,5
supportcase6,15,10,13.13,1538,5
supportcase6,20,10,13.13,2049,5
supportcase6,2,20,12.82,409,5
supportcase6,5,20,12.82,1023,5
supportcase6,10,20,12.82,2048,5
supportcase6,15,20,11.20,3074,5
supportcase6,20,20,10.77,4093,5
var-smallemery-m6j6,2,5,3.16,102,5
var-smallemery-m6j6,5,5,2.89,255,5
var-smallemery-m6j6,10,5,2.89,511,5
var-smallemery-m6j6,15,5,2.97,767,5
var-smallemery-m6j6,20,5,2.96,1022,5
var-smallemery-m6j6,2,10,3.16,204,5
var-smallemery-m6j6,5,10,3.05,510,5
var-smallemery-m6j6,10,10,2.81,1022,5
var-smallemery-m6j6,15,10,2.98,1534,5
var-smallemery-m6j6,20,10,2.46,2044,5
var-smallemery-m6j6,2,20,2.99,408,5
var-smallemery-m6j6,5,20,2.87,1021,5
var-smallemery-m6j6,10,20,2.52,2043,5
var-smallemery-m6j6,15,20,2.52,3064,5
var-smallemery-m6j6,20,20,2.46,4083,5
