instance,1proc_obj,1proc_time_s,2proc_obj,2proc_time_s,4proc_obj,4proc_time_s,8proc_obj,8proc_time_s,16proc_obj,16proc_time_s,24proc_obj,24proc_time_s
b1c1s1,23.7068,4250,23.5113,3825,23.8264,3062,23.5113,3262,23.5113,3713,23.5113,3414
cost266-UUE,8.5806,4500,8.5806,3800,8.5806,3362,8.5635,2656,8.5806,2875,8.5806,2379
csched007,29.2695,4550,29.1123,3500,29.2695,3162,29.1123,3069,29.2695,2965,29.2695,3067
cvs16r128-89,25.0641,4600,23.5780,3500,25.5821,3162,23.5121,3262,23.5780,2916,23.5780,3569
eilA101-2,26.7062,5162,26.7062,4230,26.7062,4298,26.7062,4635,26.7062,5234,26.7062,5567
momentum1,21.0591,4200,21.0591,3600,21.0591,3100,21.0566,2675,28.5451,2785,28.5472,2582
mushroom-best,50.5256,4800,50.5256,3825,50.5256,3800,50.5256,3588,50.5256,3622,50.5256,3527
neos-1456979,17.4712,4300,17.2923,3525,17.4712,3088,17.2923,2781,17.4712,2670,17.4712,2673
neos-3024952-loue,10.1266,4450,9.6001,3875,10.1266,3212,9.5097,2875,10.1266,1681,10.1266,2095
neos-4387871-tavua,21.4278,4300,21.5010,2625,21.3084,1612,21.3084,1512,21.3084,1275,21.6302,1258
neos-4954672-berkel,13.2415,4850,13.2752,4100,13.0595,3562,13.1361,3257,13.2270,3416,13.2950,3392
neos-5093327-huahum,28.0877,4450,28.0877,3550,28.0877,3138,28.0877,2838,28.0877,2528,28.0877,2717
rococoB10-011000,22.9668,4450,22.9668,3500,22.8417,3175,22.8417,2769,22.8417,2650,22.8417,2976
sorrell3,33.0024,4450,33.0024,3800,33.0024,2800,33.0024,4150,33.0024,5619,33.0024,5130
supportcase26,13.5517,5050,13.6987,4200,13.3066,3600,13.1649,3375,13.3413,3207,13.5848,3402
supportcase40,5.7244,4700,5.7244,3725,5.6315,3588,5.5529,3394,5.6315,2806,5.7244,3719
supportcase6,13.1676,2300,13.1676,1950,13.1676,2300,13.1676,1600,13.1676,1247,13.1676,1240
var-smallemery-m6j6,4.1542,4650,4.1542,3900,4.0610,3250,4.0503,3038,4.1377,3156,4.1377,3036
mean,20.4352,4445,20.3080,3612,20.4230,3181,20.2279,3040,20.7255,3020,20.7660,3096
