instance,wall_time
b1c1s1,3072
cost266-UUE,3370
csched007,3173
cvs16r128-89,3172
eilA101-2,4304
momentum1,3100
mushroom-best,3804
neos-1456979,3090
neos-3024952-loue,3216
neos-4387871-tavua,1616
neos-4954672-berkel,3571
neos-5093327-huahum,3138
rococoB10-011000,3185
sorrell3,2804
supportcase26,3600
supportcase40,3597
supportcase6,2310
var-smallemery-m6j6,3253
