instance,n_evaluations
b1c1s1,121
cost266-UUE,127
csched007,148
cvs16r128-89,145
eilA101-2,110
momentum1,114
mushroom-best,166
neos-1456979,117
neos-3024952-loue,151
neos-4387871-tavua,118
neos-4954672-berkel,157
neos-5093327-huahum,148
rococoB10-011000,113
sorrell3,165
supportcase26,122
supportcase40,122
supportcase6,122
var-smallemery-m6j6,146
