instance,wall_time
b1c1s1,641
cost266-UUE,674
csched007,675
cvs16r128-89,696
eilA101-2,672
momentum1,555
mushroom-best,728
neos-1456979,636
neos-3024952-loue,678
neos-4387871-tavua,700
neos-4954672-berkel,697
neos-5093327-huahum,657
rococoB10-011000,613
sorrell3,630
supportcase26,707
supportcase40,638
supportcase6,384
var-smallemery-m6j6,637
