instance,wall_time
b1c1s1,3268
cost266-UUE,2657
csched007,3074
cvs16r128-89,3264
eilA101-2,4639
momentum1,2679
mushroom-best,3589
neos-1456979,2781
neos-3024952-loue,2875
neos-4387871-tavua,1517
neos-4954672-berkel,3262
neos-5093327-huahum,2839
rococoB10-011000,2773
sorrell3,4150
supportcase26,3376
supportcase40,3394
supportcase6,1600
var-smallemery-m6j6,3039
