instance,wall_time
b1c1s1,2719
cost266-UUE,2011
csched007,2429
cvs16r128-89,2372
eilA101-2,3616
momentum1,2357
mushroom-best,2946
neos-1456979,2399
neos-3024952-loue,3172
neos-4387871-tavua,2397
neos-4954672-berkel,3179
neos-5093327-huahum,1444
rococoB10-011000,2394
sorrell3,2486
supportcase26,2698
supportcase40,2846
supportcase6,1661
var-smallemery-m6j6,2227
