instance,seed,2proc-1pils_objective,2proc-1pils_tuning_time,4proc-1pils_objective,4proc-1pils_tuning_time,8proc-1pils_objective,8proc-1pils_tuning_time,16proc-1pils_objective,16proc-1pils_tuning_time,24proc-1pils_objective,24proc-1pils_tuning_time
neos-4387871-tavua.mps,8,21.73,1328,0,1113,20.81,721,20.61,389,20.27,267
neos-4387871-tavua.mps,9,20.21,1321,23.11,1102,17.69,719,17.89,389,20.62,266
neos-4387871-tavua.mps,10,17.34,1325,22.97,1099,20.94,720,21.24,389,19.97,266
neos-4954672-berkel.mps,1,11.96,2398,12.82,1233,13.18,716,12.97,394,13.18,305
neos-4954672-berkel.mps,2,10,2394,12.64,1234,13.2,716,13.03,395,13.22,304
neos-4954672-berkel.mps,3,12.55,2400,12.19,1231,12.53,717,13.62,394,13.12,303
neos-4954672-berkel.mps,4,10.87,2395,12.63,1229,12.97,717,12.25,394,13.22,304
neos-4954672-berkel.mps,5,10.89,2399,12.98,1231,11.35,717,10.74,394,12.74,304
neos-4954672-berkel.mps,6,12.36,2401,15.1,1233,12.76,713,13.22,394,12.97,304
neos-4954672-berkel.mps,7,14.46,2399,10.42,1233,11.28,716,12.55,394,12.97,304
neos-4954672-berkel.mps,8,15.38,2399,12.62,1230,12.27,717,13.67,394,13.05,304
neos-4954672-berkel.mps,9,13.92,2392,14.63,1234,11.81,718,12.98,394,13.05,304
neos-4954672-berkel.mps,10,12.14,2401,11.72,1234,12.56,717,12.08,394,12.55,303
neos-5093327-huahum.mps,1,25.5,2226,25.73,1173,26.45,675,24.07,352,24.47,272
neos-5093327-huahum.mps,2,25.43,2227,25.61,1163,25.61,678,24.07,352,24.47,272
neos-5093327-huahum.mps,3,25.25,2228,25.62,1166,25.42,678,25.29,351,24.42,272
neos-5093327-huahum.mps,4,22.84,2227,24.26,1164,24.14,678,24.07,352,24.47,272
neos-5093327-huahum.mps,5,25.48,2224,23.86,1162,25.71,676,23.01,352,24.47,272
neos-5093327-huahum.mps,6,23.92,2220,24.04,1165,24.08,677,24.07,351,24.47,272
neos-5093327-huahum.mps,7,24.1,2220,23.92,1165,25.36,678,24.54,352,24.47,272
neos-5093327-huahum.mps,8,23.52,2229,26.21,1162,24.07,675,24.42,353,24.47,272
neos-5093327-huahum.mps,9,25.05,2224,24.37,1165,24.07,676,24.07,352,24.47,272
neos-5093327-huahum.mps,10,25.45,2228,24.07,1166,24.07,677,25.6,351,24.47,271
rococoB10-011000.mps,1,19.62,2237,20.64,1103,20.75,631,21.38,363,20.88,285
rococoB10-011000.mps,2,17.2,2246,18,1098,22.23,631,21.03,363,22.23,284
rococoB10-011000.mps,3,20.05,2240,22.11,1103,21.35,633,21.46,363,21.74,284
rococoB10-011000.mps,4,20.68,2241,20.3,1100,20.47,632,19.55,364,17.7,284
rococoB10-011000.mps,5,17.82,2244,21.25,1101,17.64,632,20.52,362,19.42,284
rococoB10-011000.mps,6,21.13,2246,33.3,1104,19.62,633,20.64,363,19.08,285
rococoB10-011000.mps,7,23.23,2242,19.88,1101,20.49,633,22.48,362,17.73,285
rococoB10-011000.mps,8,23.56,2244,19.3,1100,21.17,632,22.14,363,17.8,285
rococoB10-011000.mps,9,21.78,2245,23,1098,20.38,633,22.55,370,17.48,285
rococoB10-011000.mps,10,20.91,2240,20.11,1103,20.03,632,20.19,361,17.48,285
sorrell3.mps,1,24.22,2307,23.76,1132,23.72,650,23.77,388,23.92,285
sorrell3.mps,2,24.18,2303,23.88,1131,23.75,649,23.92,375,23.92,355
sorrell3.mps,3,23.74,2307,23.87,1132,23.74,650,23.92,446,23.92,356
sorrell3.mps,4,24.05,2300,23.99,1129,23.8,646,23.92,380,23.92,410
sorrell3.mps,5,23.57,2303,23.75,1130,23.83,650,23.77,469,23.92,354
sorrell3.mps,6,23.85,2302,23.77,1130,23.89,646,23.92,375,23.92,365
sorrell3.mps,7,23.68,2304,23.8,1154,23.88,645,23.92,433,23.92,358
sorrell3.mps,8,23.8,2308,23.71,1132,24,645,23.92,535,23.93,356
sorrell3.mps,9,23.67,2308,23.93,1128,23.92,648,24.07,456,24.45,284
sorrell3.mps,10,23.48,2304,23.84,1128,23.92,648,23.92,515,24.29,353
supportcase26.mps,1,7.86,2740,5.84,1320,6.63,727,8.39,403,8,312
supportcase26.mps,2,0.01,2731,6.53,1320,7.7,727,9.09,405,7.11,311
supportcase26.mps,3,11.53,2738,6.89,1319,7.56,727,5.75,405,6.72,312
supportcase26.mps,4,3.81,2739,0.06,1318,0.01,727,4.17,404,3.73,315
supportcase26.mps,5,4.73,2736,1.22,1318,7.39,727,7.3,405,6.79,312
supportcase26.mps,6,3.31,2739,5.92,1313,5.34,726,5.35,404,8.03,313
supportcase26.mps,7,7.87,2734,7.31,1320,6.28,727,8.16,404,7.17,311
supportcase26.mps,8,9.27,2734,2.09,1317,7,727,8.8,404,7.88,311
supportcase26.mps,9,6.47,2737,13.06,1319,8.17,726,9.11,405,8.05,311
supportcase26.mps,10,2.77,2737,6.45,1320,6.54,726,7.26,406,6.48,312
supportcase40.mps,1,4.32,2481,2.59,1181,4.68,658,4.89,386,4.89,295
supportcase40.mps,2,2.41,2482,3.54,1180,5.23,658,4.33,386,4.33,294
supportcase40.mps,3,3.39,2480,4.39,1181,4.88,657,4.99,386,4.56,294
supportcase40.mps,4,4.07,2484,4.34,1175,4.55,658,4.85,386,4.35,295
supportcase40.mps,5,3.26,2487,3.18,1181,3.97,657,4.46,386,4.46,294
supportcase40.mps,6,2.7,2485,4.51,1175,4.46,658,4.48,386,4.48,294
supportcase40.mps,7,3.93,2485,4.43,1178,4.34,656,5.26,386,4.78,294
supportcase40.mps,8,4.47,2479,3.97,1176,4.8,657,4.56,386,4.72,294
supportcase40.mps,9,4.05,2485,4.36,1176,4.47,658,4.71,388,4.79,294
supportcase40.mps,10,2.66,2486,4.23,1179,4.49,658,4.66,387,4.44,293
supportcase6.mps,1,0.13,1831,0.01,595,0.01,403,0.01,239,0.01,156
supportcase6.mps,2,0,1835,0,596,0.01,403,0.01,239,0.01,155
supportcase6.mps,3,0,1833,0.12,591,0.01,405,0.01,239,0.01,156
supportcase6.mps,4,0.01,1832,0.01,589,0.01,404,0.01,240,0.01,156
supportcase6.mps,5,0,1834,0.01,594,0,403,0.01,238,0.01,156
supportcase6.mps,6,0,1835,0.01,594,0.01,404,0.01,240,0.01,155
supportcase6.mps,7,0,1832,0.01,594,0.01,404,0.01,241,0.01,155
supportcase6.mps,8,0.01,1838,0.01,592,0.01,402,0.01,239,0.01,155
supportcase6.mps,9,0,1837,0.01,591,0.01,402,0.01,238,0.01,156
supportcase6.mps,10,0.01,1835,0.01,595,0,402,0.01,240,0.01,155
var-smallemery-m6j6.mps,1,-1,2301,-1,1171,-1,656,-1,386,-1,289
var-smallemery-m6j6.mps,2,-1,2306,-1,1168,-1,657,-1,386,-1,289
var-smallemery-m6j6.mps,3,-1,2307,-1,1166,-1,658,-1,388,-1,289
var-smallemery-m6j6.mps,4,-1,2309,-1,1171,-1,656,-1,386,-1,289
var-smallemery-m6j6.mps,5,-1,2303,-1,1172,-1,658,-1,387,-1,289
var-smallemery-m6j6.mps,6,-1,2307,-1,1169,-1,657,-1,385,-1,289
var-smallemery-m6j6.mps,7,-1,2306,-1,1171,-1,657,-1,388,-1,289
var-smallemery-m6j6.mps,8,-1,2307,-1,1171,-1,656,-1,386,-1,289
var-smallemery-m6j6.mps,9,-1,2309,-1,1169,-1,656,-1,386,-1,289
var-smallemery-m6j6.mps,10,-1,2310,-1,1170,-1,654,-1,387,-1,289
