instance,seed,objective,tuning_time
neos-4387871-tavua.mps,1,22.07,977
neos-4954672-berkel.mps,1,12.14,1360
neos-5093327-huahum.mps,1,24.23,1128
nexp-150-20-8-5.mps,1,3.9,4483
rococoB10-011000.mps,1,23.33,963
sorrell3.mps,1,25.54,2225
supportcase26.mps,1,6.57,988
supportcase40.mps,1,2.62,1227
supportcase6.mps,1,0.01,911
var-smallemery-m6j6.mps,1,2.87,1254
