MipStartID,MipStartFile,SourceEvalID,UpperBound
7,/scratch/yorig/mpils-results-grid-seconds-10-no-mip-start/medium-1/2proc/seed-2/1_b1c1s1_seed-2_20260503_003704/iterated_local_search/run_2_worker_1/mip_starts/mip_start_eval_1_config_6412061966936098728.mst,79,24722.4
6,/scratch/yorig/mpils-results-grid-seconds-10-no-mip-start/medium-1/2proc/seed-2/1_b1c1s1_seed-2_20260503_003704/iterated_local_search/run_1_worker_0/mip_starts/mip_start_eval_19_config_3179348435553010483.mst,19,24767.4
5,/scratch/yorig/mpils-results-grid-seconds-10-no-mip-start/medium-1/2proc/seed-2/1_b1c1s1_seed-2_20260503_003704/iterated_local_search/run_1_worker_0/mip_starts/mip_start_eval_17_config_12814275849575793989.mst,17,24910.8
4,/scratch/yorig/mpils-results-grid-seconds-10-no-mip-start/medium-1/2proc/seed-2/1_b1c1s1_seed-2_20260503_003704/iterated_local_search/run_1_worker_0/mip_starts/mip_start_eval_9_config_12346593367860487108.mst,9,25485.4
3,/scratch/yorig/mpils-results-grid-seconds-10-no-mip-start/medium-1/2proc/seed-2/1_b1c1s1_seed-2_20260503_003704/iterated_local_search/run_1_worker_0/mip_starts/mip_start_eval_5_config_3793061173611652593.mst,5,25630.9
2,/scratch/yorig/mpils-results-grid-seconds-10-no-mip-start/medium-1/2proc/seed-2/1_b1c1s1_seed-2_20260503_003704/iterated_local_search/run_1_worker_0/mip_starts/mip_start_eval_2_config_10101538263502436884.mst,2,26151.3
1,/scratch/yorig/mpils-results-grid-seconds-10-no-mip-start/medium-1/2proc/seed-2/1_b1c1s1_seed-2_20260503_003704/iterated_local_search/run_1_worker_0/mip_starts/mip_start_eval_1_config_14921508010286178949.mst,1,28249.8
