instance,seed,objective,tuning_time
csched008.mps,4,0.58,2003
fastxgemm-n2r6s0t2.mps,4,0,1967
glass4.mps,4,0,291
lotsize.mps,4,3.49,3104
mas74.mps,4,2.2,2311
neos-4413714-turia.mps,4,1.74,1865
qap10.mps,4,0,8
rocI-4-11.mps,4,0,2241
supportcase18.mps,4,0,964
supportcase33.mps,4,0,774
