MipStartID,MipStartFile,SourceEvalID,UpperBound
15,/scratch/yorig/mpils-results-grid-ticks-10000-divide/medium-1/32proc/seed-4/9_neos-3024952-loue_seed-4_20260427_092151/iterated_local_search/run_6_worker_1/mip_starts/mip_start_eval_3_config_12841069785527859006.mst,2769,26876
14,/scratch/yorig/mpils-results-grid-ticks-10000-divide/medium-1/32proc/seed-4/9_neos-3024952-loue_seed-4_20260427_092151/iterated_local_search/run_6_worker_1/mip_starts/mip_start_eval_1_config_9013217050563372393.mst,2767,26916
1,/scratch/yorig/mpils-results-grid-ticks-10000-divide/medium-1/32proc/seed-4/9_neos-3024952-loue_seed-4_20260427_092151/iterated_local_search/run_1_worker_0/mip_starts/mip_start_eval_1_config_14921508010286178949.mst,1,29320
2,/scratch/yorig/mpils-results-grid-ticks-10000-divide/medium-1/32proc/seed-4/9_neos-3024952-loue_seed-4_20260427_092151/iterated_local_search/run_1_worker_0/mip_starts/mip_start_eval_5_config_14770251354950928531.mst,5,28402
3,/scratch/yorig/mpils-results-grid-ticks-10000-divide/medium-1/32proc/seed-4/9_neos-3024952-loue_seed-4_20260427_092151/iterated_local_search/run_1_worker_2/mip_starts/mip_start_eval_3_config_506689512661984095.mst,43,28090
4,/scratch/yorig/mpils-results-grid-ticks-10000-divide/medium-1/32proc/seed-4/9_neos-3024952-loue_seed-4_20260427_092151/iterated_local_search/run_1_worker_6/mip_starts/mip_start_eval_6_config_1055080975095162485.mst,126,27858
5,/scratch/yorig/mpils-results-grid-ticks-10000-divide/medium-1/32proc/seed-4/9_neos-3024952-loue_seed-4_20260427_092151/iterated_local_search/run_1_worker_24/mip_starts/mip_start_eval_19_config_14840500182574711401.mst,499,27726
6,/scratch/yorig/mpils-results-grid-ticks-10000-divide/medium-1/32proc/seed-4/9_neos-3024952-loue_seed-4_20260427_092151/iterated_local_search/run_2_worker_0/mip_starts/mip_start_eval_1_config_14239045147538777941.mst,695,27726
7,/scratch/yorig/mpils-results-grid-ticks-10000-divide/medium-1/32proc/seed-4/9_neos-3024952-loue_seed-4_20260427_092151/iterated_local_search/run_2_worker_1/mip_starts/mip_start_eval_1_config_14840500182574711400.mst,701,27466
8,/scratch/yorig/mpils-results-grid-ticks-10000-divide/medium-1/32proc/seed-4/9_neos-3024952-loue_seed-4_20260427_092151/iterated_local_search/run_3_worker_0/mip_starts/mip_start_eval_1_config_15782707846406096918.mst,919,27378
9,/scratch/yorig/mpils-results-grid-ticks-10000-divide/medium-1/32proc/seed-4/9_neos-3024952-loue_seed-4_20260427_092151/iterated_local_search/run_3_worker_1/mip_starts/mip_start_eval_6_config_2208489741236010168.mst,934,27342
10,/scratch/yorig/mpils-results-grid-ticks-10000-divide/medium-1/32proc/seed-4/9_neos-3024952-loue_seed-4_20260427_092151/iterated_local_search/run_4_worker_1/mip_starts/mip_start_eval_3_config_258837767058087798.mst,1286,27232
11,/scratch/yorig/mpils-results-grid-ticks-10000-divide/medium-1/32proc/seed-4/9_neos-3024952-loue_seed-4_20260427_092151/iterated_local_search/run_5_worker_1/mip_starts/mip_start_eval_23_config_7714696574264834664.mst,1797,27181
12,/scratch/yorig/mpils-results-grid-ticks-10000-divide/medium-1/32proc/seed-4/9_neos-3024952-loue_seed-4_20260427_092151/iterated_local_search/run_5_worker_18/mip_starts/mip_start_eval_11_config_621887741950889207.mst,2295,27056
13,/scratch/yorig/mpils-results-grid-ticks-10000-divide/medium-1/32proc/seed-4/9_neos-3024952-loue_seed-4_20260427_092151/iterated_local_search/run_5_worker_18/mip_starts/mip_start_eval_22_config_2531559125705468861.mst,2306,26956
